user_id,condition,ip_address,IP_Hub_Country_Code,IP_Hub_ISP,IP_Hub_nonUSIP,IP_Hub_VPS,IP_Hub_recommend_block
1651266725098_l22v9,1,75.90.104.36,US,WINDSTREAM,0,0,0
1651266747983_lpbhe,1,67.241.32.251,US,TWC-11351-NORTHEAST,0,0,0
1651266755262_o0h80,1,174.202.230.16,US,CELLCO-PART,0,0,0
1651266762376_4sinw,1,216.23.255.205,US,WATCHCOMM-IN,0,0,0
1651266783858_c23xj,1,72.9.202.186,US,VONAGE-BUSINESS,0,0,0
1651266808049_88hb8,1,108.197.164.71,US,ATT-INTERNET4,0,0,0
1651266916247_h0msc,1,98.213.118.142,US,COMCAST-7922,0,0,0
1651267201427_majxz,1,73.149.186.215,US,COMCAST-7015,0,0,0
1651270673128_rnrdq,1,172.58.76.249,US,T-MOBILE-AS21928,0,0,0
1651272124729_i5p08,1,184.101.25.239,US,CENTURYLINK-US-LEGACY-QWEST,0,0,0
1651272228702_rtkkb,1,98.176.225.46,US,ASN-CXA-ALL-CCI-22773-RDC,0,0,0
1651266678147_sv46w,2,71.212.155.14,US,CENTURYLINK-US-LEGACY-QWEST,0,0,0
1651266713669_4rjfd,2,71.61.235.88,US,COMCAST-7922,0,0,0
1651266714825_dg03x,2,173.23.107.143,US,MEDIACOM-ENTERPRISE-BUSINESS,0,0,0
1651266737130_jhzsz,2,67.63.94.123,US,TLL-WEST,0,0,0
1651266768224_ik0xd,2,72.190.80.79,US,TWC-11427-TEXAS,0,0,0
1651266842023_17zzj,2,68.185.37.230,US,CHARTER-20115,0,0,0
1651266848287_ub5id,2,24.178.146.205,US,CHARTER-20115,0,0,0
1651266973188_xzx9v,2,27.147.205.187,BD,LINK3-TECH-AS-BD-AP,1,0,1
1651267028213_uqb59,2,74.98.224.241,US,UUNET,0,0,0
1651267663730_qvfmw,2,65.188.49.244,US,TWC-11426-CAROLINAS,0,0,0
1651268587992_r138c,2,99.185.141.111,US,ATT-INTERNET4,0,0,0
1651266679690_pjovw,1,76.26.87.87,US,COMCAST-7922,0,0,0
