user_id,field,response,attention,news_eval,condition,ip_address,country_codes
1651266678147_sv46w,election-importance,5_high-importance,0.5,5,1,71.212.155.14,US
1651266678147_sv46w,election-newsworthiness,2_very-low-newsworthiness,0.5,2,1,71.212.155.14,US
1651266678147_sv46w,johnny-importance,5_high-importance,0.5,5,1,71.212.155.14,US
1651266678147_sv46w,johnny-newsworthiness,5_high-newsworthiness,0.5,5,1,71.212.155.14,US
1651266678147_sv46w,willsmith-importance,5_high-importance,0.5,5,1,71.212.155.14,US
1651266678147_sv46w,willsmith-newsworthiness,4_some-newsworthiness,0.5,4,1,71.212.155.14,US
1651266678147_sv46w,attentioncheck1,1_strongly-agree,0.5,1,1,71.212.155.14,US
1651266678147_sv46w,attentioncheck2,very-interested;extremely-interested,0.5,,1,71.212.155.14,US
1651266679690_pjovw,election-importance,5_high-importance,1,5,0,76.26.87.87,US
1651266679690_pjovw,election-newsworthiness,5_high-newsworthiness,1,5,0,76.26.87.87,US
1651266679690_pjovw,johnny-importance,1_no-importance,1,1,0,76.26.87.87,US
1651266679690_pjovw,johnny-newsworthiness,1_no-newsworthiness,1,1,0,76.26.87.87,US
1651266679690_pjovw,willsmith-importance,1_no-importance,1,1,0,76.26.87.87,US
1651266679690_pjovw,willsmith-newsworthiness,1_no-newsworthiness,1,1,0,76.26.87.87,US
1651266679690_pjovw,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,76.26.87.87,US
1651266679690_pjovw,attentioncheck2,very-interested;extremely-interested,1,,0,76.26.87.87,US
1651266713669_4rjfd,election-importance,5_high-importance,1,5,1,71.61.235.88,US
1651266713669_4rjfd,election-newsworthiness,5_high-newsworthiness,1,5,1,71.61.235.88,US
1651266713669_4rjfd,johnny-importance,4_some-importance,1,4,1,71.61.235.88,US
1651266713669_4rjfd,johnny-newsworthiness,5_high-newsworthiness,1,5,1,71.61.235.88,US
1651266713669_4rjfd,willsmith-importance,2_very-low-importance,1,2,1,71.61.235.88,US
1651266713669_4rjfd,willsmith-newsworthiness,2_very-low-newsworthiness,1,2,1,71.61.235.88,US
1651266713669_4rjfd,attentioncheck1,3_neither-agree-nor-disagree,1,3,1,71.61.235.88,US
1651266713669_4rjfd,attentioncheck2,very-interested;extremely-interested,1,,1,71.61.235.88,US
1651266714825_dg03x,election-importance,6_very-high-importance,1,6,1,173.23.107.143,US
