"time_stamp","user_id","experiment_id","field","response"
"1646370455715","1638665559605_fvkyn","eNKqay","checkpoint","leave_feed-entity-idx-true"
"1646413160005","1638665559605_fvkyn","eNKqay","checkpoint","feed-landed"
"1646413686990","1638665559605_fvkyn","eNKqay","checkpoint","leave_feed-entity-idx-1"
"1646422900668","1638665559605_fvkyn","eNKqay","checkpoint","feed-landed"
"1646422904829","1638665559605_fvkyn","eNKqay","checkpoint","leave_feed-entity-idx-true"
"1646422904922","1638665559605_fvkyn","eNKqay","checkpoint","feed-landed"
"1646422917818","1638665559605_fvkyn","eNKqay","checkpoint","feed-entity-idx-5"
"1646422918418","1638665559605_fvkyn","eNKqay","checkpoint","feed-entity-idx-10"
"1646422919852","1638665559605_fvkyn","eNKqay","checkpoint","feed-entity-idx-15"
"1646422935596","1638665559605_fvkyn","eNKqay","checkpoint","feed-entity-idx-20"
"1646423115365","1638665559605_fvkyn","eNKqay","checkpoint","feed-landed"
"1642723940642","1642723940634_3015w","eNKqay","checkpoint","feed-landed"
"1642723941308","1642723940634_3015w","eNKqay","URLParams-age",""
"1642723941308","1642723940634_3015w","eNKqay","URLParams-education",""
"1642723941308","1642723940634_3015w","eNKqay","URLParams-experiment_id","eNKqay"
"1642723941308","1642723940634_3015w","eNKqay","URLParams-gender",""
"1642723941308","1642723940634_3015w","eNKqay","URLParams-hhi","ðnicity"
"1642723941308","1642723940634_3015w","eNKqay","URLParams-hispanic",""
"1642723941308","1642723940634_3015w","eNKqay","URLParams-political_party","®ion"
"1642723941308","1642723940634_3015w","eNKqay","URLParams-rid","47"
"1642723941308","1642723940634_3015w","eNKqay","URLParams-zip",""
"1642727644123","1642727643452_59vjz","eNKqay","checkpoint","feed-landed"
"1642727644846","1642727643452_59vjz","eNKqay","URLParams-age",""
"1642727644846","1642727643452_59vjz","eNKqay","URLParams-education",""
"1642727644846","1642727643452_59vjz","eNKqay","URLParams-experiment_id","eNKqay"
"1642727644846","1642727643452_59vjz","eNKqay","URLParams-gender",""
"1642727644846","1642727643452_59vjz","eNKqay","URLParams-hhi","ðnicity"
"1642727644846","1642727643452_59vjz","eNKqay","URLParams-hispanic",""
