"time_stamp","user_id","experiment_id","field","response"
"1651097537791","1651097571600_c7rj1","ej3MkW","checkpoint","feed-entity-idx-5"
"1651097571703","1651097571600_c7rj1","ej3MkW","checkpoint","feed-landed"
"1651097572364","1651097571600_c7rj1","ej3MkW","URLParams-experiment_id","ej3MkW"
"1651097599552","1651097571600_c7rj1","ej3MkW","checkpoint","feed-entity-idx-5"
"1651097672016","1651097571600_c7rj1","ej3MkW","checkpoint","feed-entity-idx-5"
"1651106604582","1651097571600_c7rj1","ej3MkW","checkpoint","leave_feed-entity-idx-3"
"1651266679568","1651266678147_sv46w","ej3MkW","checkpoint","feed-landed"
"1651266680317","1651266678147_sv46w","ej3MkW","URLParams-experiment_id","ej3MkW"
"1651266690742","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-5"
"1651266691476","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-10"
"1651266692059","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-15"
"1651266695145","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-20"
"1651266696522","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-25"
"1651266697680","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-30"
"1651266698245","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-30"
"1651266698926","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-35"
"1651266701922","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-40"
"1651266702877","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-45"
"1651266703825","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-50"
"1651266704808","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-55"
"1651266706826","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-65"
"1651266707681","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-70"
"1651266708609","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-75"
"1651266709560","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-80"
"1651266710409","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-85"
"1651266711352","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-90"
"1651266711864","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-95"
"1651266712027","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-95"
"1651266712333","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-final"
"1651266714917","1651266678147_sv46w","ej3MkW","checkpoint","feed-entity-idx-submit-click"
"1651266715200","1651266678147_sv46w","ej3MkW","checkpoint","leave_feed-entity-idx-99"
"1651266729771","1651266678147_sv46w","ej3MkW","election-importance","5_high-importance"
"1651266729771","1651266678147_sv46w","ej3MkW","election-newsworthiness","2_very-low-newsworthiness"
"1651266729771","1651266678147_sv46w","ej3MkW","johnny-importance","5_high-importance"
"1651266729771","1651266678147_sv46w","ej3MkW","johnny-newsworthiness","5_high-newsworthiness"
"1651266729771","1651266678147_sv46w","ej3MkW","willsmith-importance","5_high-importance"
"1651266729771","1651266678147_sv46w","ej3MkW","willsmith-newsworthiness","4_some-newsworthiness"
"1651266740006","1651266678147_sv46w","ej3MkW","social-media_accuracy-importance","4_very"
"1651266740006","1651266678147_sv46w","ej3MkW","social-media_followers","0"
"1651266740006","1651266678147_sv46w","ej3MkW","social-media_following","0"
"1651266740006","1651266678147_sv46w","ej3MkW","social-media_share-politics","2_yes"
"1651266740006","1651266678147_sv46w","ej3MkW","social-media_use-freq","5_daily"
"1651266740006","1651266678147_sv46w","ej3MkW","willsmith-cards-perc","75"
"1651266750141","1651266678147_sv46w","ej3MkW","attentioncheck1","1_strongly-agree"
"1651266811185","1651266678147_sv46w","ej3MkW","crt_10-50-printer","50"
"1651266811185","1651266678147_sv46w","ej3MkW","crt_emily-april-may","June"
"1651266811185","1651266678147_sv46w","ej3MkW","crt_mark-adam-28","34"
"1651266811185","1651266678147_sv46w","ej3MkW","crt_mold-bread-40","10"
"1651266811185","1651266678147_sv46w","ej3MkW","crt_pass-second-place","1"
"1651266811185","1651266678147_sv46w","ej3MkW","crt_sheep-15-8-died","7"
"1651266824497","1651266678147_sv46w","ej3MkW","aot_change-beliefs","2_disagree"
"1651266824497","1651266678147_sv46w","ej3MkW","aot_evidence-conflicts","2_disagree"
"1651266824497","1651266678147_sv46w","ej3MkW","aot_loyal-beliefs","2_disagree"
"1651266824497","1651266678147_sv46w","ej3MkW","aot_maintain-beliefs","2_disagree"
"1651266824497","1651266678147_sv46w","ej3MkW","aot_regardless-topic","4_somewhat-agree"
"1651266824497","1651266678147_sv46w","ej3MkW","aot_true-important","4_somewhat-agree"
"1651266830927","1651266678147_sv46w","ej3MkW","economicissuespref","3_moderate"
"1651266830927","1651266678147_sv46w","ej3MkW","politicalposition","2_republican"
"1651266830927","1651266678147_sv46w","ej3MkW","politicalpref","3_lean-democratic"
"1651266830927","1651266678147_sv46w","ej3MkW","socialissuespref","3_moderate"
"1651266864205","1651266678147_sv46w","ej3MkW","ses_education-level","2_high-school-diploma"
"1651266864205","1651266678147_sv46w","ej3MkW","ses_education-years","4"
"1651266864205","1651266678147_sv46w","ej3MkW","ses_income","5_50k-59k"
"1651266864205","1651266678147_sv46w","ej3MkW","ses_ladder","8"
"1651266882251","1651266678147_sv46w","ej3MkW","age","28"
"1651266882251","1651266678147_sv46w","ej3MkW","attentioncheck2","very-interested;extremely-interested"
"1651266882251","1651266678147_sv46w","ej3MkW","covidvaccine","1_definitely-not-get-it"
"1651266882251","1651266678147_sv46w","ej3MkW","ethnicity","white-caucasian"
"1651266882251","1651266678147_sv46w","ej3MkW","gender","male"
"1651266893300","1651266678147_sv46w","ej3MkW","comments",""
"1651266893300","1651266678147_sv46w","ej3MkW","random","no"
"1651266893300","1651266678147_sv46w","ej3MkW","study-duration","3"
"1651266893312","1651266678147_sv46w","ej3MkW","checkpoint","end-redirect"
"1651266680651","1651266679690_pjovw","ej3MkW","checkpoint","feed-landed"
"1651266681210","1651266679690_pjovw","ej3MkW","URLParams-experiment_id","ej3MkW"
"1651266715811","1651266679690_pjovw","ej3MkW","checkpoint","feed-entity-idx-5"
"1651266740111","1651266679690_pjovw","ej3MkW","checkpoint","feed-entity-idx-10"
"1651266767827","1651266679690_pjovw","ej3MkW","checkpoint","feed-entity-idx-15"
"1651266784785","1651266679690_pjovw","ej3MkW","checkpoint","feed-entity-idx-20"
