user_id,condition,topic,monkeypox_perc,changesubject,concern,covidfatigue,desired_frequency,exposure_frequency,importance,newsworthiness,problem,sickhearing,tired,vax,worry,rating_combined,covid_fatigue
1642741162347_4r0si,0.5,covid,18,2,,3.33333333333333,2,4,4,4,,4,4,,,4,3.33333333333333
1642741162347_4r0si,0.5,election,18,,,,3,2,6,5,,,,,,5.5,
1642741162347_4r0si,0.5,johnny,18,,,,1,5,3,4,,,,,,3.5,
1642741162347_4r0si,0.5,monkeypox,18,,4,,1,5,5,5,5,,,4,5,5,
1653780032930_azhr1,-0.5,covid,5,4,,4,1,7,5,5,,4,4,,,5,4
1653780032930_azhr1,-0.5,election,5,,,,1,1,4,4,,,,,,4,
1653780032930_azhr1,-0.5,johnny,5,,,,1,7,1,1,,,,,,1,
1653780032930_azhr1,-0.5,monkeypox,5,,1,,1,7,3,3,5,,,1,1,3,
1653780036733_o1ogi,0.5,covid,20,4,,4,1,5,5,4,,3,5,,,4.5,4
1653780036733_o1ogi,0.5,election,20,,,,2,7,6,6,,,,,,6,
1653780036733_o1ogi,0.5,johnny,20,,,,1,7,3,2,,,,,,2.5,
1653780036733_o1ogi,0.5,monkeypox,20,,2,,2,6,4,4,4,,,5,2,4,
1653780079354_gg09c,0.5,covid,22,3,,5,1,7,6,6,,6,6,,,6,5
1653780079354_gg09c,0.5,election,22,,,,1,5,6,6,,,,,,6,
1653780079354_gg09c,0.5,johnny,22,,,,1,5,4,4,,,,,,4,
1653780079354_gg09c,0.5,monkeypox,22,,3,,2,5,6,6,4,,,4,3,6,
1653780092911_833rh,0.5,covid,46,2,,3.33333333333333,2,6,6,6,,4,4,,,6,3.33333333333333
1653780092911_833rh,0.5,election,46,,,,1,5,5,5,,,,,,5,
1653780092911_833rh,0.5,johnny,46,,,,1,1,2,4,,,,,,3,
1653780092911_833rh,0.5,monkeypox,46,,4,,2,5,6,6,4,,,5,4,6,
1653780103090_kwf81,-0.5,covid,3,2,,3.33333333333333,2,5,6,6,,4,4,,,6,3.33333333333333
1653780103090_kwf81,-0.5,election,3,,,,2,5,6,6,,,,,,6,
1653780103090_kwf81,-0.5,johnny,3,,,,1,7,4,4,,,,,,4,
1653780103090_kwf81,-0.5,monkeypox,3,,4,,3,5,6,6,6,,,5,3,6,
1653780141504_btxvf,0.5,covid,47,3,,3.66666666666667,1,5,6,6,,4,4,,,6,3.66666666666667
1653780141504_btxvf,0.5,election,47,,,,2,5,4,5,,,,,,4.5,
1653780141504_btxvf,0.5,johnny,47,,,,1,6,3,3,,,,,,3,
1653780141504_btxvf,0.5,monkeypox,47,,2,,2,5,3,3,2,,,3,2,3,
1653780146771_jbje7,0.5,covid,31,5,,5.66666666666667,1,5,4,3,,6,6,,,3.5,5.66666666666667
1653780146771_jbje7,0.5,election,31,,,,1,2,4,4,,,,,,4,
1653780146771_jbje7,0.5,johnny,31,,,,1,6,2,5,,,,,,3.5,
1653780146771_jbje7,0.5,monkeypox,31,,1,,1,5,3,2,2,,,2,1,2.5,
1653780149318_drsiz,-0.5,covid,2,6,,6,1,5,2,2,,6,6,,,2,6
1653780149318_drsiz,-0.5,election,2,,,,2,5,4,4,,,,,,4,
1653780149318_drsiz,-0.5,johnny,2,,,,1,6,1,1,,,,,,1,
1653780149318_drsiz,-0.5,monkeypox,2,,1,,1,6,2,2,1,,,1,1,2,
1653780159694_oyr3u,-0.5,covid,2,6,,6,1,2,4,5,,6,6,,,4.5,6
1653780159694_oyr3u,-0.5,election,2,,,,1,1,3,5,,,,,,4,
1653780159694_oyr3u,-0.5,johnny,2,,,,1,5,2,5,,,,,,3.5,
1653780159694_oyr3u,-0.5,monkeypox,2,,1,,1,1,3,4,2,,,2,1,3.5,
1653780169035_f9ezn,-0.5,covid,10,4,,4.66666666666667,1,5,3,2,,5,5,,,2.5,4.66666666666667
1653780169035_f9ezn,-0.5,election,10,,,,2,1,4,4,,,,,,4,
1653780169035_f9ezn,-0.5,johnny,10,,,,1,6,1,3,,,,,,2,
1653780169035_f9ezn,-0.5,monkeypox,10,,1,,1,7,2,3,2,,,3,1,2.5,
1653780173147_s6wdu,-0.5,covid,5,2,,3.33333333333333,2,6,6,6,,4,4,,,6,3.33333333333333
1653780173147_s6wdu,-0.5,election,5,,,,2,5,6,6,,,,,,6,
1653780173147_s6wdu,-0.5,johnny,5,,,,2,5,5,5,,,,,,5,
1653780173147_s6wdu,-0.5,monkeypox,5,,5,,3,5,6,6,5,,,3,5,6,
1653780189769_9iksy,0.5,covid,74,3,,3.66666666666667,2,3,5,5,,4,4,,,5,3.66666666666667
1653780189769_9iksy,0.5,election,74,,,,3,2,6,6,,,,,,6,
1653780189769_9iksy,0.5,johnny,74,,,,1,7,1,1,,,,,,1,
1653780189769_9iksy,0.5,monkeypox,74,,4,,1,3,5,5,6,,,5,4,5,
1653780331895_hwz2p,0.5,covid,21,6,,5.33333333333333,2,6,4,4,,5,5,,,4,5.33333333333333
1653780331895_hwz2p,0.5,election,21,,,,2,5,3,4,,,,,,3.5,
1653780331895_hwz2p,0.5,johnny,21,,,,1,5,1,1,,,,,,1,
1653780331895_hwz2p,0.5,monkeypox,21,,1,,1,7,2,2,1,,,2,1,2,
1653780693388_eo00z,-0.5,covid,3,5,,5,1,5,4,4,,5,5,,,4,5
1653780693388_eo00z,-0.5,election,3,,,,2,7,6,6,,,,,,6,
1653780693388_eo00z,-0.5,johnny,3,,,,1,6,1,2,,,,,,1.5,
1653780693388_eo00z,-0.5,monkeypox,3,,1,,2,5,3,3,2,,,3,1,3,
1653780717730_gscfv,0.5,covid,38,4,,4,2,6,5,5,,4,4,,,5,4
1653780717730_gscfv,0.5,election,38,,,,2,6,5,5,,,,,,5,
1653780717730_gscfv,0.5,johnny,38,,,,1,4,1,2,,,,,,1.5,
1653780717730_gscfv,0.5,monkeypox,38,,2,,2,6,4,4,3,,,3,2,4,
1653781345686_qalue,0.5,covid,53,3,,4.33333333333333,2,7,6,6,,5,5,,,6,4.33333333333333
1653781345686_qalue,0.5,election,53,,,,2,6,6,6,,,,,,6,
1653781345686_qalue,0.5,johnny,53,,,,1,7,2,2,,,,,,2,
1653781345686_qalue,0.5,monkeypox,53,,4,,2,6,5,5,5,,,5,4,5,
1653781384524_mkash,-0.5,covid,0,1,,1.66666666666667,2,4,5,6,,2,2,,,5.5,1.66666666666667
1653781384524_mkash,-0.5,election,0,,,,3,2,5,6,,,,,,5.5,
