user_id,topic2_binary,age,politicalposition,politicalpref,ses_ladder,topic2,block,condition
1653780036733_o1ogi,-1,47,1,2,3,-13.0176341685127,2,card1
1653780092911_833rh,-1,36,1,2,7,-25.9047773267256,9,card33
1653780146771_jbje7,-1,40,3,4,4,-14.9339689577881,21,card1
1653780717730_gscfv,-1,52,3,3,3,-20.873119420354,12,card33
1653866384170_6gho3,-1,25,3,3,3,-25.9456762411373,19,card33
1653866419438_qarig,-1,29,1,3,3,-28.3352999864613,28,card1
1653866426194_b4dyr,-1,76,3,4,4,-16.9073475647077,0,card1
1653866445280_3g6gx,-1,42,3,4,7,-29.875055621605,27,card33
1653866485287_mwo5p,-1,28,3,4,6,-14.6302313926753,15,card33
1653866510960_5ut9w,-1,36,3,3,5,-32.0318918313555,14,card33
1653866543113_g55yt,-1,38,2,4,3,-32.8396365841106,16,card33
1653866554471_abkvq,-1,27,1,3,5,-34.9174598903603,6,card33
1653866561676_83gz8,-1,45,1,2,3,-20.5187560727391,2,card33
1653866612156_fp78m,-1,62,2,5,4,-13.9378498077968,0,card1
1653866918865_o0zm9,-1,36,2,6,6,-27.7536847284057,23,card33
1653866954873_y0vx4,-1,45,2,4,5,-24.288877815234,21,card1
1653867057723_vrlme,-1,41,1,1,3,-11.7624436425639,22,card1
1653867239940_7ek6t,-1,43,2,4,6,-29.2757115788801,1,card33
1653867246504_m1nz0,-1,33,2,5,3,-26.6912166764299,10,card1
1653867377518_jst5t,-1,34,3,3,3,-10.364821475093,25,card33
1653867600633_pmutb,-1,37,3,3,7,-19.924082708459,11,card1
1653867616543_q358n,-1,52,3,3,3,-19.7509321813033,4,card1
1653867643814_9k5mk,-1,62,3,3,4,-16.1243698133698,4,card33
1653867649374_kojqj,-1,63,2,5,4,-31.076343803679,2,card33
1653867683872_tm0c2,-1,38,1,2,4,-13.0880069058911,22,card1
1653867758730_87e9o,-1,37,1,1,4,-34.5503997042115,18,card1
1653867836172_qfsye,-1,54,2,5,7,-16.0143715340821,3,card1
1653868098908_cf80h,-1,33,3,4,4,-34.272132993266,16,card33
1653868444502_c03ry,-1,31,2,4,5,-21.3482075017399,23,card1
1653868451098_l5yks,-1,35,3,4,4,-26.5358650990683,19,card1
1653868502469_mz03l,-1,34,2,6,4,-22.6015208223447,10,card33
1653868582649_ydvh8,-1,51,2,6,4,-27.0744382730489,13,card33
1653868775109_tymnq,-1,24,1,2,6,-29.6864936402672,6,card33
1653868905328_w9dib,-1,65,3,3,5,-12.549250041368,11,card1
1653868961543_26uuy,-1,34,1,3,5,-23.4248896343189,26,card1
1653868991079_qk7pv,-1,47,3,3,5,-14.3556169929855,5,card33
1653869005888_9qmc0,-1,23,1,1,5,-23.7700464106998,17,card1
1653869041296_95v73,-1,43,1,2,3,-10.516089735784,22,card33
1653869178181_v1qke,-1,59,1,2,6,-14.5257568371878,24,card1
1653869226730_f0ewc,-1,41,4,4,3,-15.5398642616763,25,card33
1653869260810_955vi,-1,28,3,3,2,-31.9435389304133,14,card33
1653869261379_gj4mh,-1,29,1,2,7,-11.3286686327372,24,card33
1653869505392_g58yj,-1,20,1,2,3,-12.5837144208937,22,card33
1653869518712_0yo8z,-1,58,1,1,6,-29.0554173598713,8,card1
1653869565060_m9sgn,-1,60,1,1,3,-12.04705974325,2,card1
1653870260808_pgtu4,-1,29,1,1,6,-30.2040136553744,18,card33
1653870342700_x7z5x,-1,52,1,2,3,-12.6277720012693,2,card33
1653870349130_tftud,-1,33,1,1,2,-27.6352087555267,18,card33
1653870788788_1r1q0,-1,28,3,3,1,-33.8325181091184,16,card1
1653870955142_ju2hg,-1,43,2,5,4,-23.3356399408747,13,card33
1653870996943_ivwim,-1,50,3,4,5,-21.7925239591396,21,card33
1653871689965_xv8ln,-1,42,2,5,7,-10.1588339793665,15,card1
1653872011268_saitv,-1,32,1,2,3,-28.5400898264779,28,card1
1653872122433_aixq5,-1,73,1,1,4,-10.0572899382529,2,card33
1653872214992_y0in4,-1,44,3,3,7,-20.5467015774453,11,card33
1653872308953_rvtjf,-1,43,1,1,5,-24.1378320360638,5,card33
1653873193985_1smkw,-1,26,1,2,3,-17.3469666618009,26,card33
1653873268387_qp46b,-1,28,1,2,4,-22.9610250718095,26,card33
1653873270207_0ytvn,-1,40,3,2,2,-15.2823602318374,25,card33
1653873376668_76rp7,-1,38,1,1,6,-33.1412454658381,18,card1
1653873408349_3x99m,-1,63,1,1,2,-14.9529842733025,2,card33
1653874460034_vp1gw,-1,52,4,3,3,-16.7201820673542,4,card1
1653874911837_azr68,-1,43,4,3,6,-12.6635780499463,11,card33
1653875451731_1sdta,-1,43,2,6,4,-33.3975037518059,10,card33
1653875857883_iu4bt,-1,26,3,1,8,-31.9602408929928,7,card33
1653876638703_3sawz,-1,43,3,3,4,-21.3692723714807,12,card1
1653876667316_b1x7u,-1,48,3,3,5,-25.5691468463599,20,card1
1653877280913_03m6z,-1,69,3,3,5,-26.0054692118766,20,card33
1653878872396_2k0dh,-1,20,3,3,5,-19.3714362917247,25,card1
1653879794395_q4za6,-1,44,3,3,5,-25.8199268276761,12,card1
1653881035725_kvilw,-1,53,1,2,4,-28.937319118677,2,card1
1653883101918_mti16,-1,35,4,3,4,-18.8750338216802,25,card33
1653924660919_atg1m,-1,37,2,6,6,-15.7065311552775,23,card33
1653924671008_5oaba,-1,59,1,1,1,-10.2505645403221,2,card1
1653924695594_0mcsp,-1,58,1,1,9,-22.77084193386,8,card33
1653924719956_won2t,-1,66,3,4,4,-16.6148270160529,0,card1
1653924752053_o43yy,-1,55,2,5,6,-16.1614931171434,0,card1
1653924762132_nko4e,-1,61,3,4,3,-21.9005137450858,4,card33
1653924775885_m6dsh,-1,42,1,3,1,-20.0336103607034,28,card33
1653924798260_1db34,-1,35,1,2,9,-25.3920366937129,9,card1
1653924852576_au4gk,-1,20,1,3,6,-32.5839852782243,6,card1
1653924898493_326ur,-1,49,2,5,9,-34.6372865850465,1,card33
1653925056160_2mxho,-1,41,2,4,7,-23.5767209704009,27,card1
1653925111474_2xufp,-1,40,2,4,3,-18.150577318004,26,card33
1653925147334_aed74,-1,22,1,3,5,-11.4578422549581,26,card33
1653925161396_zdn8x,-1,44,3,3,2,-32.0221910390589,12,card33
1653925214790_zki82,-1,52,1,2,7,-20.4604842086014,8,card33
1653925218886_iyk6z,-1,43,1,1,3,-13.3379600421713,5,card1
1653925280464_r9ape,-1,32,2,4,3,-27.0094942424862,16,card33
1653925322816_ipnhf,-1,35,2,5,6,-30.7850097400934,6,card33
1653925371371_18dw6,-1,31,1,3,5,-25.7838772207513,6,card1
1653925491346_x15y3,-1,24,3,3,5,-17.1136217348196,25,card1
1653925560224_iwe7s,-1,24,1,3,2,-22.1879333759513,28,card33
1653925790252_gpjqr,-1,22,2,4,5,-28.8427447544691,6,card1
1653925953532_ob6b0,-1,23,3,4,6,-22.3489206736929,27,card33
1653926128167_ty6s3,-1,47,2,5,3,-22.0511299553752,13,card33
1653926167059_98qtz,-1,53,2,6,6,-13.0954092809817,3,card33
1653926304999_h0e6m,-1,35,1,1,6,-26.1212575704368,5,card1
1653926480165_f6vxz,-1,51,3,3,4,-16.432959081256,5,card1
1653926546675_ds2sm,-1,51,3,4,7,-22.9924585752791,27,card33
1653926602837_loh2y,-1,36,3,3,2,-27.2007979420387,12,card33
1653926605945_a4lv8,-1,61,3,3,3,-21.6652627157886,4,card33
1653926872010_dwcyu,-1,31,1,3,5,-16.1443186596101,26,card1
1653927021308_ra0x9,-1,61,2,5,4,-33.9402869975957,16,card33
1653927046569_spyg5,-1,59,1,3,3,-19.1138610085121,2,card1
1653927394408_3wwgg,-1,26,2,6,3,-29.5216256776463,10,card1
1653927430917_b9so2,-1,42,3,4,8,-31.4948112511211,1,card1
1653927507957_wn3ia,-1,38,1,3,3,-10.7431073818889,22,card1
1653927537073_clrxs,-1,21,3,3,6,-27.7348258238181,27,card1
1653927828664_b0ar1,-1,30,3,3,2,-12.136153153769,19,card1
1653927849822_uafha,-1,52,2,5,5,-20.2831175137011,0,card1
1653928441586_hdiub,-1,32,2,4,5,-12.8209407118185,15,card1
1653928471816_h0sra,-1,35,1,1,3,-18.7605373034015,26,card1
1653928514516_dnis9,-1,23,1,3,3,-15.8260932497401,26,card1
