StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q65_Browser,Q65_Version,Q65_Operating System,Q65_Resolution,1_importance,1_newsworthy,1_familiarity,1_observedFrequency,1_desiredFrequency,2_importance,2_newsworthy,2_familiarity,2_observedFrequency,2_desiredFrequency,3_importance,3_newsworthy,3_familiarity,3_observedFrequency,3_desiredFrequency,4_importance,4_newsworthy,4_familiarity,4_observedFrequency,4_desiredFrequency,5_importance,5_newsworthy,5_familiarity,5_observedFrequency,5_desiredFrequency,6_importance,6_newsworthy,6_familiarity,6_observedFrequency,6_desiredFrequency,7_importance,7_newsworthy,7_familiarity,7_observedFrequency,7_desiredFrequency,8_importance,8_newsworthy,8_familiarity,8_observedFrequency,8_desiredFrequency,9_importance,9_newsworthy,9_familiarity,9_observedFrequency,9_desiredFrequency,10_importance,10_newsworthy,10_familiarity,10_observedFrequency,10_desiredFrequency,11_importance,11_newsworthy,11_familiarity,11_observedFrequency,11_desiredFrequency,12_importance,12_newsworthy,12_familiarity,12_observedFrequency,12_desiredFrequency,13_importance,13_newsworthy,13_familiarity,13_observedFrequency,13_desiredFrequency,14_importance,14_newsworthy,14_familiarity,14_observedFrequency,14_desiredFrequency,15_importance,15_newsworthy,15_familiarity,15_observedFrequency,15_desiredFrequency,16_importance,16_newsworthy,16_familiarity,16_observedFrequency,16_desiredFrequency,17_importance,17_newsworthy,17_familiarity,17_observedFrequency,17_desiredFrequency,18_importance,18_newsworthy,18_familiarity,18_observedFrequency,18_desiredFrequency,19_importance,19_newsworthy,19_familiarity,19_observedFrequency,19_desiredFrequency,20_importance,20_newsworthy,20_familiarity,20_observedFrequency,20_desiredFrequency,21_importance,21_newsworthy,21_familiarity,21_observedFrequency,21_desiredFrequency,22_importance,22_newsworthy,22_familiarity,22_observedFrequency,22_desiredFrequency,23_importance,23_newsworthy,23_familiarity,23_observedFrequency,23_desiredFrequency,24_importance,24_newsworthy,24_familiarity,24_observedFrequency,24_desiredFrequency,25_importance,25_newsworthy,25_familiarity,25_observedFrequency,25_desiredFrequency,26_importance,26_newsworthy,26_familiarity,26_observedFrequency,26_desiredFrequency,27_importance,27_newsworthy,27_familiarity,27_observedFrequency,27_desiredFrequency,28_importance,28_newsworthy,28_familiarity,28_observedFrequency,28_desiredFrequency,Age,Gender,Gender_6_TEXT,Education,Income,Ethnicity,Ethnicity_6_TEXT,god,Random,Google,Comments,Length,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,endloop
2022-08-02 18:44:26,2022-08-02 18:46:26,IP Address,74.122.63.140,100,119,True,2022-08-02 18:46:26,R_22mPNogUIGb4TFx,"","","","",39.0469,-77.4903,anonymous,EN,Chrome,103.0.5060.134,Windows NT 10.0,1366x768,"","","","","","","","","","","","","","","","","","","","",High Importance,Some newsworthiness,Know a Fair Amount,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,Some newsworthiness,Know a Little,About one every other week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","",High Importance,Some newsworthiness,Know a Fair Amount,About one every other week,"More news about """"${lm://Field/1}""""","","","","","",High Importance,Some newsworthiness,Know a Fair Amount,About one per week,"More news about """"${lm://Field/1}""""",High Importance,Some newsworthiness,Know a Little,About one every other week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",32,Female,"",Bachelor's degree in college (4-year),"$50,000 to $59,999",White/Caucasian,"",6,Yes,Yes,no comments ,8 min,"","","","","","","","","","",0
2022-08-02 18:44:08,2022-08-02 18:46:28,IP Address,172.58.84.226,100,139,True,2022-08-02 18:46:28,R_3FWmdPmsDKDHgNm,"","","","",44.8769,-93.2535,anonymous,EN,Chrome,103.0.0.0,CrOS aarch64 14816.131.0,1366x768,Very high importance,Very high newsworthiness,Know It Well,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Little,Just once or twice this month,"More news about """"${lm://Field/1}""""","","","","","","","","","","",High Importance,Very high newsworthiness,Know It Well,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,High newsworthiness,Know a Little,About one every other week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",30,Female,"",Associate degree in college (2-year),"$10,000 to $19,999",White/Caucasian,"",Not at all   0,No,No,"","","","","","","","","","","","",0
2022-08-02 18:44:44,2022-08-02 18:46:29,IP Address,76.238.185.154,100,104,True,2022-08-02 18:46:29,R_1kNghjVICL4zmtS,"","","","",29.7439,-95.6067,anonymous,EN,Chrome,103.0.0.0,Macintosh,1440x900,"","","","","","","","","","","","","","","","","","","","",High Importance,Some newsworthiness,Know a Little,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,About one every other week,"Less news about """"${lm://Field/1}""""","","","","","",Some Importance,Some newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Know a Little,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",30,Female,"",Master's degree,"$70,000 to $79,999",White/Caucasian,"",5,No,No,"",5 minutes,"","","","","","","","","","",0
2022-08-02 18:45:27,2022-08-02 18:47:28,IP Address,208.218.225.52,100,120,True,2022-08-02 18:47:28,R_10wkJSWUcLMSRbA,"","","","",37.9186,-121.3132,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1366x768,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,Some newsworthiness,Know a Fair Amount,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Some Importance,High newsworthiness,Know a Little,About one every other week,"More news about """"${lm://Field/1}""""","","","","","","","","","","",High Importance,Some newsworthiness,Know a Little,About one every other week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,Some newsworthiness,Know a Fair Amount,About one every other week,"More news about """"${lm://Field/1}""""",High Importance,Some newsworthiness,"",Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","",27,Male,"",Doctoral degree,"$40,000 to $49,999",White/Caucasian,"",Very Much   7,Yes,No,"","","","","","","","","","","","",0
2022-08-02 18:44:25,2022-08-02 18:47:40,IP Address,23.252.247.3,100,195,True,2022-08-02 18:47:41,R_1rcWBSAVqS3x8DF,"","","","",33.3561,-97.1803,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1366x768,"","","","","","","","","","","","","","","",Some Importance,High newsworthiness,Know a Little,A few times a week,"Less news about """"${lm://Field/1}""""",Some Importance,High newsworthiness,Know a Little,A few times a week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Fair Amount,Daily,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Some newsworthiness,Heard of It,About one every other week,"More news about """"${lm://Field/1}""""","","","","","",25,Prefer not to answer,"",Some college but no degree,"$50,000 to $59,999",White/Caucasian,"",Not at all   0,No,No,"",3 minutes.,"","","","","","","","","","",0
2022-08-02 18:45:07,2022-08-02 18:47:56,IP Address,99.116.218.97,100,169,True,2022-08-02 18:47:57,R_3Rz0w1033GZR5tz,"","","","",33.8332,-84.6031,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1280x720,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Know a Fair Amount,About one per week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Never Heard of It,None at all this month,"More news about """"${lm://Field/1}""""",No importance,No newsworthiness,Know a Little,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",No importance,No newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Know a Little,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",48,Female,"",Master's degree,"$100,000 to $149,999",White/Caucasian,"",4,No,No,"",3 minutes,"","","","","","","","","","",0
2022-08-02 18:45:20,2022-08-02 18:48:09,IP Address,72.107.76.182,100,168,True,2022-08-02 18:48:09,R_24zRX6D03Qq1X1F,"","","","",37.7406,-79.3422,anonymous,EN,Safari iPhone,15.5,iPhone,375x812,Some Importance,High newsworthiness,Know a Fair Amount,None at all this month,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Know a Little,About one per week,"Less news about """"${lm://Field/1}""""","","","","","",No importance,No newsworthiness,Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",No importance,No newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","",29,Female,"",Some college but no degree,"$60,000 to $69,999",White/Caucasian,"",Very Much   7,No,No,"",4 minutes ,"","","","","","","","","","",0
2022-08-02 18:44:14,2022-08-02 18:48:21,IP Address,35.138.154.2,100,246,True,2022-08-02 18:48:21,R_2xEJy2foshl496f,"","","","",27.4055,-82.3881,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1366x768,"","","","","","","","","","","","","","","",Some Importance,High newsworthiness,Heard of It,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Know It Well,Multiple times daily,"The same amount of news about """"${lm://Field/1}""""","","","","","",High Importance,Very high newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","",Very high importance,High newsworthiness,Know a Fair Amount,Multiple times daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Very low importance,Some newsworthiness,Know a Fair Amount,Multiple times daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",71,Male,"",Bachelor's degree in college (4-year),"$80,000 to $89,999",White/Caucasian,"",6,No,No,all topical issues,4 and a half minutes,"","","","","","","","","","",0
2022-08-02 18:44:24,2022-08-02 18:48:22,IP Address,75.84.216.31,100,238,True,2022-08-02 18:48:23,R_30dDcn0QkGqqef3,"","","","",34.0271,-118.5035,anonymous,EN,Chrome,103.0.0.0,Macintosh,1440x900,"","","","","",High Importance,Very high newsworthiness,Know a Little,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","",Very high importance,Very high newsworthiness,Know a Little,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Low newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Some Importance,High newsworthiness,Know a Fair Amount,A few times a week,"The same amount of news about """"${lm://Field/1}""""",27,Female,"",Bachelor's degree in college (4-year),"$30,000 to $39,999",White/Caucasian,"",1,No,No,none,4 minutes. ,"","","","","","","","","","",0
2022-08-02 18:45:01,2022-08-02 18:48:23,IP Address,72.223.51.148,100,201,True,2022-08-02 18:48:23,R_2dECRKKRBnpUnsB,"","","","",32.2123,-110.879,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1440x900,"","","","","","","","","","",High Importance,Very high newsworthiness,Know a Fair Amount,Daily,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Some Importance,High newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""",No importance,Very low newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",38,Male,"",Master's degree,"$30,000 to $39,999",White/Caucasian,"",4,No,No,,5 Minutes,"","","","","","","","","","",0
