field,response,value,n
age,19,19,5
age,20,20,5
age,21,21,6
age,22,22,9
age,23,23,18
age,24,24,18
age,25,25,23
age,26,26,14
age,27,27,16
age,28,28,27
age,29,29,16
age,30,30,18
age,31,31,24
age,32,32,20
age,33,33,25
age,34,34,15
age,35,35,23
age,36,36,9
age,37,37,18
age,38,38,20
age,39,39,13
age,40,40,17
age,41,41,16
age,42,42,8
age,43,43,11
age,44,44,11
age,45,45,14
age,46,46,8
age,47,47,7
age,48,48,5
age,49,49,5
age,50,50,5
age,51,51,8
age,52,52,5
age,53,53,4
age,54,54,1
age,55,55,5
age,56,56,1
age,57,57,6
age,58,58,2
age,59,59,2
age,60,60,5
age,61,61,5
age,62,62,5
age,63,63,5
age,64,64,1
age,65,65,2
age,66,66,2
age,68,68,2
age,69,69,1
age,70,70,3
age,71,71,1
age,72,72,2
aot_change-beliefs,1_strongly-disagree,1,40
aot_change-beliefs,2_disagree,2,98
aot_change-beliefs,3_somewhat-disagree,3,91
aot_change-beliefs,4_somewhat-agree,4,174
aot_change-beliefs,5_agree,5,86
aot_change-beliefs,6_strongly-agree,6,28
aot_evidence-conflicts,1_strongly-disagree,1,61
aot_evidence-conflicts,2_disagree,2,127
aot_evidence-conflicts,3_somewhat-disagree,3,120
aot_evidence-conflicts,4_somewhat-agree,4,132
aot_evidence-conflicts,5_agree,5,62
aot_evidence-conflicts,6_strongly-agree,6,15
aot_loyal-beliefs,1_strongly-disagree,1,54
aot_loyal-beliefs,2_disagree,2,137
aot_loyal-beliefs,3_somewhat-disagree,3,128
aot_loyal-beliefs,4_somewhat-agree,4,117
aot_loyal-beliefs,5_agree,5,63
aot_loyal-beliefs,6_strongly-agree,6,18
aot_maintain-beliefs,1_strongly-disagree,1,79
aot_maintain-beliefs,2_disagree,2,108
aot_maintain-beliefs,3_somewhat-disagree,3,118
aot_maintain-beliefs,4_somewhat-agree,4,132
aot_maintain-beliefs,5_agree,5,58
aot_maintain-beliefs,6_strongly-agree,6,22
aot_regardless-topic,1_strongly-disagree,1,112
aot_regardless-topic,2_disagree,2,142
aot_regardless-topic,3_somewhat-disagree,3,133
aot_regardless-topic,4_somewhat-agree,4,91
aot_regardless-topic,5_agree,5,29
aot_regardless-topic,6_strongly-agree,6,10
aot_true-important,1_strongly-disagree,1,128
aot_true-important,2_disagree,2,167
aot_true-important,3_somewhat-disagree,3,123
aot_true-important,4_somewhat-agree,4,69
aot_true-important,5_agree,5,24
aot_true-important,6_strongly-agree,6,6
comments,"","",205
comments, , ,1
comments,:),:),1
comments,Excellent ,Excellent ,1
comments,Good,Good,2
comments,Good luck with your research and have a great day!,Good luck with your research and have a great day!,1
comments,Good luck with your research endeavors!,Good luck with your research endeavors!,1
comments,Good luck with your study!,Good luck with your study!,1
comments,Great Study!,Great Study!,1
comments,Great and simple survey.,Great and simple survey.,1
comments,Great study.,Great study.,1
comments,Have a Nice Day,Have a Nice Day,1
comments,Have a nice day  Scientist >=),Have a nice day  Scientist >=),1
comments,I am not interested in politics or celebrities at all,I am not interested in politics or celebrities at all,1
comments,I dislike politics.,I dislike politics.,1
comments,I do not.,I do not.,1
comments,I enjoyed sharing my opinions with you.,I enjoyed sharing my opinions with you.,1
comments,I enjoyed this study.,I enjoyed this study.,1
comments,"I generally don't share news stories on social media, people are just going to read the headline and come away with a poor understanding of the actual events.","I generally don't share news stories on social media, people are just going to read the headline and come away with a poor understanding of the actual events.",1
comments,I had an error message for a second but when I refreshed it let me finish.,I had an error message for a second but when I refreshed it let me finish.,1
comments,I have ADHD if that counts for anything,I have ADHD if that counts for anything,1
comments,I have no comments.,I have no comments.,1
comments,"I noticed on one of the questions, the word """"people"""" was misspelled as """"peaple"""".","I noticed on one of the questions, the word """"people"""" was misspelled as """"peaple"""".",1
comments,I thought the survey was quick and easy to understand.,I thought the survey was quick and easy to understand.,1
comments,Interesting headlines.,Interesting headlines.,1
comments,Interesting study,Interesting study,1
comments,It was well written and easy to understand. Thanks!,It was well written and easy to understand. Thanks!,1
comments,"Most of the scientific """"facts"""" that are accepted today were once considered false.","Most of the scientific """"facts"""" that are accepted today were once considered false.",1
comments,N/A,N/A,13
comments,NA,NA,2
comments,NO.,NO.,1
comments,Na,Na,1
comments,Nice,Nice,2
comments,No,No,55
comments,No additional comments. Thank you!,No additional comments. Thank you!,1
comments,No comment.,No comment.,1
comments,No comments,No comments,2
comments,No comments.,No comments.,1
comments,No comments. Thank you,No comments. Thank you,1
comments,No one cares about Hollywood pedophile scumbags.,No one cares about Hollywood pedophile scumbags.,1
comments,No thank you,No thank you,1
comments,No thank you.,No thank you.,1
comments,"No, I hope I was able to help.","No, I hope I was able to help.",1
comments,"No, thank you","No, thank you",1
comments,"No, thank you!","No, thank you!",1
comments,"No, thank you.","No, thank you.",1
comments,No.,No.,5
comments,None,None,17
comments,None at this time,None at this time,1
comments,None at this time.,None at this time.,1
comments,Nope,Nope,3
comments,Nope. ,Nope. ,2
comments,Please consider a bonus. This survey was far too long.,Please consider a bonus. This survey was far too long.,1
comments,"Please include more instruction on the first page with the social media. I wasn't sure if I should click like, share, save, or just leave blank. Thank You!","Please include more instruction on the first page with the social media. I wasn't sure if I should click like, share, save, or just leave blank. Thank You!",1
comments,Questions were well worded and easy to understand,Questions were well worded and easy to understand,1
