user_id,condition,topic,willsmith_perc,importance,newsworthiness,rating_combined
1651266679690_pjovw,-0.5,election,1,5,5,5
1651266679690_pjovw,-0.5,johnny,1,1,1,1
1651266679690_pjovw,-0.5,willsmith,1,1,1,1
1651266713669_4rjfd,0.5,election,56,5,5,5
1651266713669_4rjfd,0.5,johnny,56,4,5,4.5
1651266713669_4rjfd,0.5,willsmith,56,2,2,2
1651266714825_dg03x,0.5,election,60,6,6,6
1651266714825_dg03x,0.5,johnny,60,1,1,1
1651266714825_dg03x,0.5,willsmith,60,1,1,1
1651266725098_l22v9,-0.5,election,2,3,3,3
1651266725098_l22v9,-0.5,johnny,2,4,4,4
1651266725098_l22v9,-0.5,willsmith,2,3,3,3
1651266737130_jhzsz,0.5,election,47,6,6,6
1651266737130_jhzsz,0.5,johnny,47,3,4,3.5
1651266737130_jhzsz,0.5,willsmith,47,1,2,1.5
1651266747983_lpbhe,-0.5,election,25,5,5,5
1651266747983_lpbhe,-0.5,johnny,25,5,6,5.5
1651266747983_lpbhe,-0.5,willsmith,25,5,5,5
1651266755262_o0h80,-0.5,election,3,6,6,6
1651266755262_o0h80,-0.5,johnny,3,2,4,3
1651266755262_o0h80,-0.5,willsmith,3,2,5,3.5
1651266762376_4sinw,-0.5,election,5,5,5,5
1651266762376_4sinw,-0.5,johnny,5,4,4,4
1651266762376_4sinw,-0.5,willsmith,5,2,4,3
1651266768224_ik0xd,0.5,election,46,4,5,4.5
1651266768224_ik0xd,0.5,johnny,46,2,2,2
1651266768224_ik0xd,0.5,willsmith,46,3,5,4
1651266783858_c23xj,-0.5,election,5,6,6,6
1651266783858_c23xj,-0.5,johnny,5,6,6,6
1651266783858_c23xj,-0.5,willsmith,5,1,4,2.5
1651266808049_88hb8,-0.5,election,2,5,5,5
1651266808049_88hb8,-0.5,johnny,2,3,4,3.5
1651266808049_88hb8,-0.5,willsmith,2,4,4,4
1651266842023_17zzj,0.5,election,70,6,5,5.5
1651266842023_17zzj,0.5,johnny,70,4,2,3
1651266842023_17zzj,0.5,willsmith,70,1,1,1
1651266848287_ub5id,0.5,election,82,5,2,3.5
1651266848287_ub5id,0.5,johnny,82,6,6,6
1651266848287_ub5id,0.5,willsmith,82,4,2,3
1651266916247_h0msc,-0.5,election,3,6,6,6
1651266916247_h0msc,-0.5,johnny,3,5,5,5
1651266916247_h0msc,-0.5,willsmith,3,5,5,5
1651267028213_uqb59,0.5,election,91,6,6,6
1651267028213_uqb59,0.5,johnny,91,5,6,5.5
1651267028213_uqb59,0.5,willsmith,91,1,3,2
1651267201427_majxz,-0.5,election,7,6,6,6
1651267201427_majxz,-0.5,johnny,7,3,3,3
1651267201427_majxz,-0.5,willsmith,7,1,2,1.5
1651268587992_r138c,0.5,election,61,6,6,6
1651268587992_r138c,0.5,johnny,61,1,1,1
1651268587992_r138c,0.5,willsmith,61,4,2,3
1651270673128_rnrdq,-0.5,election,1,6,3,4.5
1651270673128_rnrdq,-0.5,johnny,1,5,6,5.5
1651270673128_rnrdq,-0.5,willsmith,1,6,6,6
1651272124729_i5p08,-0.5,election,50,4,4,4
1651272124729_i5p08,-0.5,johnny,50,3,3,3
1651272124729_i5p08,-0.5,willsmith,50,3,3,3
1651272228702_rtkkb,-0.5,election,50,6,6,6
1651272228702_rtkkb,-0.5,johnny,50,5,5,5
1651272228702_rtkkb,-0.5,willsmith,50,5,5,5
1651511958161_zgpci,-0.5,election,0,6,2,4
1651511958161_zgpci,-0.5,johnny,0,1,6,3.5
1651511958161_zgpci,-0.5,willsmith,0,1,6,3.5
1651511960177_s5g4r,0.5,election,83,5,5,5
1651511960177_s5g4r,0.5,johnny,83,2,3,2.5
1651511960177_s5g4r,0.5,willsmith,83,2,2,2
1651511968618_5zavu,0.5,election,80,6,6,6
1651511968618_5zavu,0.5,johnny,80,1,6,3.5
1651511968618_5zavu,0.5,willsmith,80,1,6,3.5
1651511969221_hkkvq,-0.5,election,0,6,6,6
1651511969221_hkkvq,-0.5,johnny,0,4,5,4.5
1651511969221_hkkvq,-0.5,willsmith,0,4,5,4.5
1651511979974_ij4nl,-0.5,election,1,6,6,6
1651511979974_ij4nl,-0.5,johnny,1,1,3,2
1651511979974_ij4nl,-0.5,willsmith,1,3,3,3
1651511980393_aowof,0.5,election,20,4,4,4
1651511980393_aowof,0.5,johnny,20,4,4,4
1651511980393_aowof,0.5,willsmith,20,4,4,4
1651511982415_iw1ma,-0.5,election,5,5,4,4.5
1651511982415_iw1ma,-0.5,johnny,5,4,3,3.5
1651511982415_iw1ma,-0.5,willsmith,5,3,2,2.5
1651511982751_7kd2x,-0.5,election,2,6,6,6
1651511982751_7kd2x,-0.5,johnny,2,2,4,3
1651511982751_7kd2x,-0.5,willsmith,2,3,4,3.5
1651511997007_swtqi,0.5,election,50,6,4,5
1651511997007_swtqi,0.5,johnny,50,5,4,4.5
1651511997007_swtqi,0.5,willsmith,50,5,4,4.5
1651512000911_gxozu,-0.5,election,1,5,6,5.5
1651512000911_gxozu,-0.5,johnny,1,2,6,4
1651512000911_gxozu,-0.5,willsmith,1,3,6,4.5
1651512010799_gz3iy,0.5,election,25,5,5,5
1651512010799_gz3iy,0.5,johnny,25,4,5,4.5
1651512010799_gz3iy,0.5,willsmith,25,3,4,3.5
1651512012373_clt1x,-0.5,election,6,6,6,6
1651512012373_clt1x,-0.5,johnny,6,1,5,3
1651512012373_clt1x,-0.5,willsmith,6,2,4,3
1651512028644_ejbsk,-0.5,election,4,5,6,5.5
1651512028644_ejbsk,-0.5,johnny,4,6,6,6
1651512028644_ejbsk,-0.5,willsmith,4,3,3,3
1651512029046_by1m2,0.5,election,35,5,5,5
1651512029046_by1m2,0.5,johnny,35,4,4,4
1651512029046_by1m2,0.5,willsmith,35,4,4,4
1651512043027_ww1wy,-0.5,election,2,5,5,5
1651512043027_ww1wy,-0.5,johnny,2,2,4,3
1651512043027_ww1wy,-0.5,willsmith,2,3,5,4
1651512050061_al18t,0.5,election,61,4,4,4
1651512050061_al18t,0.5,johnny,61,2,2,2
1651512050061_al18t,0.5,willsmith,61,2,2,2
1651512050800_t2ugd,0.5,election,52,4,4,4
1651512050800_t2ugd,0.5,johnny,52,2,6,4
1651512050800_t2ugd,0.5,willsmith,52,2,6,4
1651512057400_8na73,0.5,election,50,5,5,5
1651512057400_8na73,0.5,johnny,50,2,2,2
1651512057400_8na73,0.5,willsmith,50,3,3,3
1651512066815_winmu,-0.5,election,7,3,3,3
1651512066815_winmu,-0.5,johnny,7,1,1,1
1651512066815_winmu,-0.5,willsmith,7,1,1,1
