user_id,condition,first15,remaining,dwell_diff
1651266678147_sv46w,0.5,134.5,271.137931034483,136.637931034483
1651266679690_pjovw,-0.5,,,
1651266713669_4rjfd,0.5,14063.6666666667,7354.35714285714,-6709.30952380952
1651266714825_dg03x,0.5,,7836.2,
1651266725098_l22v9,-0.5,,,
1651266737130_jhzsz,0.5,13790,10014.8214285714,-3775.17857142857
1651266747983_lpbhe,-0.5,,,
1651266755262_o0h80,-0.5,,,
1651266762376_4sinw,-0.5,,,
1651266768224_ik0xd,0.5,2601.66666666667,3361.03448275862,759.367816091954
1651266783858_c23xj,-0.5,,,
1651266808049_88hb8,-0.5,,,
1651266842023_17zzj,0.5,6791.4,3625.48,-3165.92
1651266848287_ub5id,0.5,3659,1498.8,-2160.2
1651266916247_h0msc,-0.5,,,
1651266973188_xzx9v,0.5,11139,3120.24137931034,-8018.75862068966
1651267028213_uqb59,0.5,7338,1250.44444444444,-6087.55555555556
1651267201427_majxz,-0.5,,,
1651267663730_qvfmw,0.5,11556,14248.72,2692.72
1651268587992_r138c,0.5,15604.75,5049.04,-10555.71
1651270673128_rnrdq,-0.5,,,
1651272124729_i5p08,-0.5,,,
1651272228702_rtkkb,-0.5,,,
1651511958161_zgpci,-0.5,,,
1651511960177_s5g4r,0.5,9527,4767.8,-4759.2
1651511968618_5zavu,0.5,13053,6330.33333333333,-6722.66666666667
1651511969221_hkkvq,-0.5,,,
1651511979974_ij4nl,-0.5,,,
1651511980393_aowof,0.5,9714,15311.6071428571,5597.60714285714
1651511982415_iw1ma,-0.5,,,
1651511982751_7kd2x,-0.5,,,
1651511997007_swtqi,0.5,457,307.241379310345,-149.758620689655
1651512000911_gxozu,-0.5,,,
1651512010799_gz3iy,0.5,13290.25,9941.15,-3349.1
1651512012373_clt1x,-0.5,,,
1651512028644_ejbsk,-0.5,,,
1651512029046_by1m2,0.5,5165,3573.85185185185,-1591.14814814815
1651512043027_ww1wy,-0.5,,,
1651512050061_al18t,0.5,1202,1031.81481481481,-170.185185185185
1651512050800_t2ugd,0.5,4422,3293.28571428571,-1128.71428571429
1651512050895_fyad0,0.5,4380.8,2738.07692307692,-1642.72307692308
1651512053464_2n6g8,-0.5,,,
1651512057400_8na73,0.5,2815.5,760.259259259259,-2055.24074074074
1651512066815_winmu,-0.5,,,
1651512068777_7mc27,-0.5,,,
1651512071559_wrgrn,0.5,2584.83333333333,951.48,-1633.35333333333
1651512078498_7on37,0.5,6901.5,2119.52,-4781.98
1651512083181_jeopt,-0.5,,,
1651512084402_r2q3e,-0.5,,,
1651512087602_6fn20,-0.5,,,
1651512088027_c1sj3,-0.5,,,
1651512103820_jemgx,-0.5,,,
1651512111158_7upx7,0.5,,14506.2222222222,
1651512117067_lgnj6,-0.5,,,
1651512137314_s2xus,0.5,2890.5,3455.07407407407,564.574074074074
1651512148676_gaz9n,-0.5,,,
1651512151943_zlcbz,-0.5,,,
1651512175264_lyp5m,0.5,4232.75,4496.8,264.05
1651512176395_pb1sp,-0.5,,,
1651512191471_3rm0p,0.5,4608.75,2384.85185185185,-2223.89814814815
1651512208680_vdoll,0.5,8234.4,5977.92307692308,-2256.47692307692
1651512212914_6w48o,-0.5,,,
1651512219317_ozn8t,-0.5,,,
1651512229096_8wext,-0.5,,,
1651512241493_ka0j7,-0.5,,,
1651512244174_nowwj,-0.5,,,
1651512269011_2ghq7,-0.5,,,
1651512274279_cy6rr,-0.5,,,
1651512274788_af3qo,0.5,6286.4,3525.2,-2761.2
1651512275304_d53a9,-0.5,,,
1651512278642_ayogq,0.5,12682.8,2937.88,-9744.92
1651512295564_9bub0,0.5,267.25,439.307692307692,172.057692307692
1651512298903_jnbnq,-0.5,,,
1651512338556_gvzeu,0.5,2395.33333333333,2577.31034482759,181.977011494253
1651512344210_pw8q4,0.5,11937.75,4552.875,-7384.875
1651512344620_iwjbc,-0.5,,,
1651512364320_o82dr,0.5,6136.75,5561.34615384615,-575.403846153846
1651512373148_4mfni,-0.5,,,
1651512403409_ebbxx,-0.5,,,
1651512437878_2glg1,0.5,12863.5,6743.03571428572,-6120.46428571429
1651512451645_lpoto,0.5,5721.66666666667,4817.60869565217,-904.057971014493
1651512462034_f9cy8,-0.5,,,
1651512496202_6vieg,-0.5,,,
1651512513234_m3u9y,-0.5,,,
1651512513661_1i84t,-0.5,,,
1651512518943_8masg,0.5,6856.75,732.214285714286,-6124.53571428572
1651512528420_4te59,0.5,16735,3396.90322580645,-13338.0967741936
1651512544045_4e442,0.5,10093.5,8108.12,-1985.38
1651512582016_wvtns,-0.5,,,
1651512604663_qbr11,-0.5,,,
1651512610351_g9pt3,0.5,1,2879.48275862069,2878.48275862069
1651512616340_esi6r,0.5,1257.33333333333,1345.78260869565,88.449275362319
1651512630153_xyi99,0.5,13311.8,11365,-1946.8
1651512652630_w6dvp,0.5,7130,6148.80769230769,-981.192307692308
1651512678897_48v6t,-0.5,,,
1651512739156_yvk5k,0.5,3951,2180.07692307692,-1770.92307692308
1651512784284_akums,-0.5,,,
1651512788954_7gwfo,0.5,19305,966.153846153846,-18338.8461538462
1651512793420_62mjh,0.5,12749.2,9417.625,-3331.575
1651512810016_6jtjn,-0.5,,,
1651512817244_ddx6o,-0.5,,,
1651512828430_k0kg5,-0.5,,,
1651512882260_e64xj,0.5,2744,4861.65517241379,2117.65517241379
1651512939809_7llqg,-0.5,,,
1651512962914_u9rdr,0.5,11443.4,6135.65217391304,-5307.74782608696
1651512982219_hamjk,0.5,3860,1750.04,-2109.96
1651512989240_wr923,0.5,6697.6,3154.44,-3543.16
1651513007829_6fa87,0.5,7350.4,6747.16666666667,-603.233333333333
1651513021890_37wbc,-0.5,,,
1651513024140_sfv15,-0.5,,,
1651513112228_czo2c,-0.5,,,
1651513161188_vuhoo,0.5,12368,1262.46153846154,-11105.5384615385
1651513254516_4967d,-0.5,,,
1651513290668_mmdxf,-0.5,,,
1651513291786_pluau,-0.5,,,
1651513340158_wmf0b,-0.5,,,
1651513368012_gr1k0,-0.5,,,
1651513386227_5lv3o,-0.5,,,
1651513392782_ris5q,-0.5,,,
1651513459439_z4rw9,-0.5,,,
1651513483414_wvwzy,0.5,8215.25,4213.07142857143,-4002.17857142857
1651513535779_l0w53,0.5,8162.33333333333,4739.34615384616,-3422.98717948718
1651513578795_bupzr,-0.5,,,
1651513608408_ebqa6,-0.5,,,
1651513660667_80mot,-0.5,,,
1651513720305_eikzj,-0.5,,,
1651513743247_wi0kd,-0.5,,,
1651513823351_xgflk,-0.5,,,
1651513878517_j35xh,-0.5,,,
1651513954558_tgdsh,-0.5,,,
1651513972179_ysurr,-0.5,,,
1651514054855_gb8zr,-0.5,,,
1651514062829_fjrfi,0.5,5559.5,5426,-133.5
1651514178175_qqrm8,0.5,3547.75,2097.26923076923,-1450.48076923077
1651514190929_7ix74,0.5,6343,4717.16666666667,-1625.83333333333
1651514212604_62dey,0.5,5531.25,3543.65384615385,-1987.59615384615
1651514226335_9p77g,-0.5,,,
1651514325885_llc1n,-0.5,,,
1651514486295_cu46h,-0.5,,,
1651514506977_sv77q,-0.5,,,
1651514519541_2wlk7,-0.5,,,
1651514535787_kpdg2,-0.5,,,
1651514553957_0xky7,-0.5,,,
1651514557934_7zuaj,0.5,440.6,634.76,194.16
1651514594885_2np1m,-0.5,,,
1651514596232_g1ewc,-0.5,,,
1651514642655_rp1pf,-0.5,,,
1651514663349_m7cxm,0.5,373,837.571428571429,464.571428571429
1651514709552_6lgs7,-0.5,,,
1651514759213_wglhu,-0.5,,,
1651514799965_904o3,0.5,2322.2,4036.33333333333,1714.13333333333
1651514807147_1kzmo,0.5,10153.8,6877.69230769231,-3276.10769230769
1651514809347_kypdk,-0.5,,,
1651514812905_f8ppq,-0.5,,,
1651514817135_14t2y,0.5,1720.28571428571,1834.47826086957,114.192546583851
1651514881369_krreo,-0.5,,,
1651514922836_zrlxp,-0.5,,,
1651515022981_lg0r5,0.5,5546.66666666667,6108.72,562.053333333333
1651515023100_yj00q,-0.5,,,
1651515026260_d03kx,0.5,6970,9325.35714285714,2355.35714285714
1651515040980_4oyqy,-0.5,,,
1651515064683_c80dt,-0.5,,,
