user_id,condition,first15,remaining,dwell_diff
1651266678147_sv46w,0.5,134.5,271.137931034483,136.637931034483
1651266679690_pjovw,-0.5,,,
1651266713669_4rjfd,0.5,13806,7502.2,-6303.8
1651266714825_dg03x,0.5,,7836.2,
1651266755262_o0h80,-0.5,,,
1651266762376_4sinw,-0.5,,,
1651266768224_ik0xd,0.5,2601.66666666667,3361.03448275862,759.367816091954
1651266783858_c23xj,-0.5,,,
1651267028213_uqb59,0.5,10776,1213.38461538462,-9562.61538461538
1651270673128_rnrdq,-0.5,,,
1651272124729_i5p08,-0.5,,,
1651511960177_s5g4r,0.5,,3993.74074074074,
1651511979974_ij4nl,-0.5,,,
1651511980393_aowof,0.5,9714,,
1651511982415_iw1ma,-0.5,,,
1651511982751_7kd2x,-0.5,,,
1651511997007_swtqi,0.5,457,307.241379310345,-149.758620689655
1651512010799_gz3iy,0.5,13290.25,9442.17647058824,-3848.07352941176
1651512012373_clt1x,-0.5,,,
1651512050061_al18t,0.5,1202,1031.81481481481,-170.185185185185
1651512050895_fyad0,0.5,4384,1904.84615384615,-2479.15384615385
1651512071559_wrgrn,0.5,2584.83333333333,951.48,-1633.35333333333
1651512078498_7on37,0.5,6901.5,2119.52,-4781.98
1651512088027_c1sj3,-0.5,,,
1651512103820_jemgx,-0.5,,,
1651512111158_7upx7,0.5,,8145,
1651512117067_lgnj6,-0.5,,,
1651512137314_s2xus,0.5,2890.5,3433.57692307692,543.076923076923
1651512148676_gaz9n,-0.5,,,
1651512175264_lyp5m,0.5,4002,4389.17391304348,387.173913043478
1651512176395_pb1sp,-0.5,,,
1651512191471_3rm0p,0.5,2697.66666666667,2384.85185185185,-312.814814814815
1651512212914_6w48o,-0.5,,,
1651512219317_ozn8t,-0.5,,,
1651512229096_8wext,-0.5,,,
1651512241493_ka0j7,-0.5,,,
1651512244174_nowwj,-0.5,,,
1651512269011_2ghq7,-0.5,,,
1651512274788_af3qo,0.5,4738.33333333333,2766.72222222222,-1971.61111111111
1651512295564_9bub0,0.5,267.25,439.307692307692,172.057692307692
1651512298903_jnbnq,-0.5,,,
1651512344620_iwjbc,-0.5,,,
1651512364320_o82dr,0.5,6136.75,5561.34615384615,-575.403846153846
1651512373148_4mfni,-0.5,,,
1651512437878_2glg1,0.5,,5903.66666666667,
1651512462034_f9cy8,-0.5,,,
1651512518943_8masg,0.5,6856.75,732.214285714286,-6124.53571428572
1651512528420_4te59,0.5,16735,3396.90322580645,-13338.0967741936
1651512544045_4e442,0.5,8368.5,8127.65217391304,-240.847826086957
1651512610351_g9pt3,0.5,1,2879.48275862069,2878.48275862069
1651512616340_esi6r,0.5,789,910.125,121.125
1651512630153_xyi99,0.5,11977,10760.4444444444,-1216.55555555555
1651512652630_w6dvp,0.5,7051,5012.84210526316,-2038.15789473684
1651512739156_yvk5k,0.5,3951,2180.07692307692,-1770.92307692308
1651512784284_akums,-0.5,,,
1651512788954_7gwfo,0.5,19305,966.153846153846,-18338.8461538462
1651512793420_62mjh,0.5,12086.75,8811.45,-3275.3
1651512882260_e64xj,0.5,2744,4861.65517241379,2117.65517241379
1651512962914_u9rdr,0.5,11779.25,5027.94736842105,-6751.30263157895
1651512982219_hamjk,0.5,2070,1702.625,-367.375
1651512989240_wr923,0.5,5185,2787.89473684211,-2397.10526315789
1651513007829_6fa87,0.5,7350.4,6747.16666666667,-603.233333333333
1651513021890_37wbc,-0.5,,,
1651513024140_sfv15,-0.5,,,
1651513161188_vuhoo,0.5,12368,1262.46153846154,-11105.5384615385
1651513290668_mmdxf,-0.5,,,
1651513291786_pluau,-0.5,,,
1651513459439_z4rw9,-0.5,,,
1651513535779_l0w53,0.5,8162.33333333333,4739.34615384616,-3422.98717948718
1651513608408_ebqa6,-0.5,,,
1651513972179_ysurr,-0.5,,,
1651514054855_gb8zr,-0.5,,,
1651514062829_fjrfi,0.5,5559.5,5426,-133.5
1651514178175_qqrm8,0.5,3925,2097.26923076923,-1827.73076923077
1651514190929_7ix74,0.5,5748,4679.73913043478,-1068.26086956522
1651514212604_62dey,0.5,1649,3515.375,1866.375
1651514226335_9p77g,-0.5,,,
1651514325885_llc1n,-0.5,,,
1651514486295_cu46h,-0.5,,,
1651514506977_sv77q,-0.5,,,
1651514535787_kpdg2,-0.5,,,
1651514553957_0xky7,-0.5,,,
1651514557934_7zuaj,0.5,440.6,634.76,194.16
1651514594885_2np1m,-0.5,,,
1651514596232_g1ewc,-0.5,,,
1651514663349_m7cxm,0.5,373,837.571428571429,464.571428571429
1651514759213_wglhu,-0.5,,,
1651514799965_904o3,0.5,,4870.83333333333,
1651514807147_1kzmo,0.5,10153.8,6877.69230769231,-3276.10769230769
1651514881369_krreo,-0.5,,,
1651514922836_zrlxp,-0.5,,,
1651515022981_lg0r5,0.5,5546.66666666667,6108.72,562.053333333333
1651515023100_yj00q,-0.5,,,
1651515026260_d03kx,0.5,6970,9325.35714285714,2355.35714285714
1651515186249_qv9qz,-0.5,,,
1651515194751_g1hnv,0.5,3323.66666666667,2944.14814814815,-379.518518518518
1651515273141_vw489,-0.5,,,
1651515621208_dwe6f,0.5,1994.6,3318.94736842105,1324.34736842105
1651515636794_j4aoy,0.5,1803.8,1021.46153846154,-782.338461538462
1651515664292_9o5a6,-0.5,,,
1651515686021_xrs8d,0.5,12530.5,6651.21428571429,-5879.28571428571
1651515780444_4zadv,-0.5,,,
1651515896730_kuhzv,0.5,4806.66666666667,3629.79166666667,-1176.875
1651515931442_qhdet,0.5,,4897.68,
1651515968438_zb9dk,-0.5,,,
1651515972671_4lgpe,-0.5,,,
1651516037213_zbkfz,-0.5,,,
1651516151086_edrqk,0.5,2906.33333333333,2452.80769230769,-453.525641025641
1651516161125_wegpj,0.5,12875.5,13884.2592592593,1008.75925925926
1651516179202_v3hvh,0.5,6576.33333333333,2722.61538461538,-3853.71794871795
1651516311168_j0cds,0.5,8213.75,2317,-5896.75
1651516406012_hvo4p,0.5,6593.5,7228.60869565217,635.108695652174
1651516433032_ald52,0.5,331,265.615384615385,-65.3846153846154
1651516521193_luydz,0.5,5784.2,1474.12,-4310.08
1651516526455_irvms,-0.5,,,
1651516574898_yq3in,-0.5,,,
1651516592189_e7rpr,0.5,591,16.4090909090909,-574.590909090909
1651516685244_2pe0s,-0.5,,,
1651516703860_ko5uo,0.5,9539.16666666667,7530.60869565217,-2008.55797101449
1651516768539_z10se,0.5,3867.66666666667,300,-3567.66666666667
1651516832778_clrl9,-0.5,,,
1651516872092_h8xwm,-0.5,,,
1651517132533_mki1z,0.5,9423,4944.83333333333,-4478.16666666667
1651517225436_o2lfe,-0.5,,,
1651517242714_inl6x,0.5,1244.33333333333,318.666666666667,-925.666666666667
1651517261222_tgwy5,-0.5,,,
1651517422421_ck8xy,0.5,2076.66666666667,2001.51851851852,-75.148148148148
1651517485434_l4jog,0.5,4999.25,5752.34615384616,753.096153846154
1651517588699_agw30,-0.5,,,
1651517593216_6cig0,-0.5,,,
1651517607021_2omtu,0.5,1378.66666666667,2305.23076923077,926.564102564102
1651517665976_0vfdb,0.5,2831,2962.06896551724,131.068965517241
1651517668699_bmf4q,-0.5,,,
1651517803366_gme5v,0.5,478.25,27.6923076923077,-450.557692307692
1651517811734_rnzzz,0.5,,,
1651518042330_6ux86,0.5,5687.33333333333,2821.69230769231,-2865.64102564103
1651518083006_ys1e6,0.5,8395,6331.65384615385,-2063.34615384615
1651518176483_ak47t,0.5,745.333333333333,1684.18518518519,938.851851851852
1651518187576_hn3bp,0.5,6003.4,7007.95652173913,1004.55652173913
1651518272544_hufsa,0.5,,1,
1651518314447_shamr,-0.5,,,
1651518402652_hicqv,-0.5,,,
1651518469169_qfcxx,-0.5,,,
1651518529360_tnilh,-0.5,,,
1651518561151_y56pq,0.5,4876.5,4385.81818181818,-490.681818181818
1651518686031_2mmsy,0.5,3407.8,3173.53846153846,-234.261538461539
1651518829911_st00p,0.5,3784,2990.46428571429,-793.535714285714
1651518850379_ecq32,-0.5,,,
1651518865454_50mjm,-0.5,,,
1651519028219_jcbr0,0.5,8120,1770.04,-6349.96
1651519056026_d7ntl,0.5,15003,4796.57692307692,-10206.4230769231
