user_id,engage_firstheadline,condition
1651266678147_sv46w,0,0.5
1651266679690_pjovw,0,-0.5
1651266713669_4rjfd,1,0.5
1651266714825_dg03x,0,0.5
1651266725098_l22v9,1,-0.5
1651266737130_jhzsz,1,0.5
1651266747983_lpbhe,1,-0.5
1651266755262_o0h80,0,-0.5
1651266762376_4sinw,0,-0.5
1651266768224_ik0xd,0,0.5
1651266783858_c23xj,0,-0.5
1651266808049_88hb8,1,-0.5
1651266842023_17zzj,1,0.5
1651266848287_ub5id,1,0.5
1651266916247_h0msc,1,-0.5
1651266973188_xzx9v,2,0.5
1651267028213_uqb59,1,0.5
1651267201427_majxz,1,-0.5
1651267663730_qvfmw,2,0.5
1651268587992_r138c,1,0.5
1651270673128_rnrdq,0,-0.5
1651272124729_i5p08,0,-0.5
1651272228702_rtkkb,2,-0.5
1651511958161_zgpci,1,-0.5
1651511960177_s5g4r,1,0.5
1651511968618_5zavu,1,0.5
1651511969221_hkkvq,1,-0.5
1651511979974_ij4nl,0,-0.5
1651511980393_aowof,1,0.5
1651511982415_iw1ma,0,-0.5
1651511982751_7kd2x,0,-0.5
1651511997007_swtqi,0,0.5
1651512000911_gxozu,1,-0.5
1651512010799_gz3iy,2,0.5
1651512012373_clt1x,0,-0.5
1651512028644_ejbsk,3,-0.5
1651512029046_by1m2,1,0.5
1651512043027_ww1wy,1,-0.5
1651512050061_al18t,1,0.5
1651512050800_t2ugd,1,0.5
1651512050895_fyad0,1,0.5
1651512053464_2n6g8,3,-0.5
1651512057400_8na73,1,0.5
1651512066815_winmu,1,-0.5
1651512068777_7mc27,2,-0.5
1651512071559_wrgrn,1,0.5
1651512078498_7on37,0,0.5
1651512083181_jeopt,1,-0.5
1651512084402_r2q3e,1,-0.5
1651512087602_6fn20,3,-0.5
1651512088027_c1sj3,0,-0.5
1651512103820_jemgx,0,-0.5
1651512111158_7upx7,1,0.5
1651512117067_lgnj6,0,-0.5
1651512137314_s2xus,1,0.5
1651512148676_gaz9n,0,-0.5
1651512151943_zlcbz,1,-0.5
1651512175264_lyp5m,1,0.5
1651512176395_pb1sp,0,-0.5
1651512191471_3rm0p,0,0.5
1651512208680_vdoll,1,0.5
1651512212914_6w48o,0,-0.5
1651512219317_ozn8t,0,-0.5
1651512229096_8wext,0,-0.5
1651512241493_ka0j7,0,-0.5
1651512244174_nowwj,0,-0.5
1651512269011_2ghq7,0,-0.5
1651512274279_cy6rr,1,-0.5
1651512274788_af3qo,0,0.5
1651512275304_d53a9,2,-0.5
1651512278642_ayogq,1,0.5
1651512295564_9bub0,0,0.5
1651512298903_jnbnq,0,-0.5
1651512338556_gvzeu,1,0.5
1651512344210_pw8q4,1,0.5
1651512344620_iwjbc,0,-0.5
1651512364320_o82dr,2,0.5
1651512373148_4mfni,0,-0.5
1651512403409_ebbxx,1,-0.5
1651512437878_2glg1,0,0.5
1651512451645_lpoto,2,0.5
1651512462034_f9cy8,0,-0.5
1651512496202_6vieg,1,-0.5
1651512513234_m3u9y,1,-0.5
1651512513661_1i84t,1,-0.5
1651512518943_8masg,0,0.5
1651512528420_4te59,0,0.5
1651512544045_4e442,1,0.5
1651512582016_wvtns,1,-0.5
1651512604663_qbr11,1,-0.5
1651512610351_g9pt3,0,0.5
1651512616340_esi6r,0,0.5
1651512630153_xyi99,2,0.5
1651512652630_w6dvp,1,0.5
1651512678897_48v6t,1,-0.5
1651512739156_yvk5k,0,0.5
1651512784284_akums,0,-0.5
1651512788954_7gwfo,1,0.5
1651512793420_62mjh,1,0.5
1651512810016_6jtjn,1,-0.5
1651512817244_ddx6o,1,-0.5
1651512828430_k0kg5,1,-0.5
1651512882260_e64xj,1,0.5
1651512939809_7llqg,1,-0.5
1651512962914_u9rdr,1,0.5
1651512982219_hamjk,1,0.5
1651512989240_wr923,1,0.5
1651513007829_6fa87,0,0.5
1651513021890_37wbc,0,-0.5
1651513024140_sfv15,0,-0.5
1651513112228_czo2c,1,-0.5
1651513161188_vuhoo,0,0.5
1651513254516_4967d,3,-0.5
