user_id,condition,topic,climate_perc,concern,desired_frequency,exposure_frequency,hope,human_activity,importance,newsworthiness,problem,rating_combined
1652910426203_slw42,-0.5,climate,18,4,1,5,3,4,4,4,4,4
1652910426203_slw42,-0.5,election,18,,1,5,,,5,5,,5
1652910426203_slw42,-0.5,johnny,18,,1,5,,,3,4,,3.5
1652910503094_tinli,-0.5,climate,21,6,3,3,1,6,6,6,6,6
1652910503094_tinli,-0.5,election,21,,3,4,,,6,6,,6
1652910503094_tinli,-0.5,johnny,21,,1,5,,,4,3,,3.5
1652910733996_1puuk,-0.5,climate,10,4,2,2,2,5,5,4,4,4.5
1652910733996_1puuk,-0.5,election,10,,2,1,,,5,4,,4.5
1652910733996_1puuk,-0.5,johnny,10,,1,2,,,3,2,,2.5
1652910748736_2tub9,-0.5,climate,30,4,2,5,4,5,5,5,5,5
1652910748736_2tub9,-0.5,election,30,,2,4,,,5,5,,5
1652910748736_2tub9,-0.5,johnny,30,,1,6,,,2,2,,2
1652910761747_2kgwd,-0.5,climate,5,4,3,2,3,5,5,5,5,5
1652910761747_2kgwd,-0.5,election,5,,3,3,,,5,5,,5
1652910761747_2kgwd,-0.5,johnny,5,,1,5,,,2,3,,2.5
1652910816292_ln7bs,-0.5,climate,15,3,3,3,3,5,6,5,5,5.5
1652910816292_ln7bs,-0.5,election,15,,2,2,,,5,4,,4.5
1652910816292_ln7bs,-0.5,johnny,15,,1,7,,,4,6,,5
1652910842045_6dhjx,-0.5,climate,5,6,3,2,2,6,6,6,6,6
1652910842045_6dhjx,-0.5,election,5,,3,2,,,4,4,,4
1652910842045_6dhjx,-0.5,johnny,5,,2,5,,,4,4,,4
1652910892507_s7rvi,0.5,climate,70,5,2,3,2,6,6,6,6,6
1652910892507_s7rvi,0.5,election,70,,1,2,,,2,5,,3.5
1652910892507_s7rvi,0.5,johnny,70,,1,7,,,4,6,,5
1652910903028_kvb2g,-0.5,climate,21,5,3,4,3,6,6,6,6,6
1652910903028_kvb2g,-0.5,election,21,,2,3,,,5,5,,5
1652910903028_kvb2g,-0.5,johnny,21,,1,5,,,3,2,,2.5
