field,response,value,n
aot_change-beliefs,1_strongly-disagree,1,2
aot_change-beliefs,2_disagree,2,3
aot_change-beliefs,3_somewhat-disagree,3,6
aot_change-beliefs,4_somewhat-agree,4,8
aot_change-beliefs,5_agree,5,4
aot_change-beliefs,6_strongly-agree,6,2
aot_evidence-conflicts,1_strongly-disagree,1,3
aot_evidence-conflicts,2_disagree,2,4
aot_evidence-conflicts,3_somewhat-disagree,3,6
aot_evidence-conflicts,4_somewhat-agree,4,5
aot_evidence-conflicts,5_agree,5,4
aot_evidence-conflicts,6_strongly-agree,6,3
aot_loyal-beliefs,1_strongly-disagree,1,2
aot_loyal-beliefs,2_disagree,2,5
aot_loyal-beliefs,3_somewhat-disagree,3,11
aot_loyal-beliefs,4_somewhat-agree,4,3
aot_loyal-beliefs,5_agree,5,2
aot_loyal-beliefs,6_strongly-agree,6,2
aot_maintain-beliefs,1_strongly-disagree,1,5
aot_maintain-beliefs,2_disagree,2,2
aot_maintain-beliefs,3_somewhat-disagree,3,7
aot_maintain-beliefs,4_somewhat-agree,4,5
aot_maintain-beliefs,5_agree,5,4
aot_maintain-beliefs,6_strongly-agree,6,2
aot_regardless-topic,1_strongly-disagree,1,7
aot_regardless-topic,2_disagree,2,9
aot_regardless-topic,3_somewhat-disagree,3,4
aot_regardless-topic,4_somewhat-agree,4,3
aot_regardless-topic,5_agree,5,1
aot_regardless-topic,6_strongly-agree,6,1
aot_true-important,1_strongly-disagree,1,10
aot_true-important,2_disagree,2,9
aot_true-important,3_somewhat-disagree,3,3
aot_true-important,4_somewhat-agree,4,1
aot_true-important,5_agree,5,1
aot_true-important,6_strongly-agree,6,1
economicissuespref,1_strongly-liberal,1,6
economicissuespref,2_somewhat-liberal,2,6
economicissuespref,3_moderate,3,6
economicissuespref,4_somewhat-conservative,4,4
economicissuespref,5_strongly-conservative,5,3
politicalposition,1_democrat,1,10
politicalposition,2_republican,2,4
politicalposition,3_independent,3,10
politicalposition,4_other,4,1
politicalpref,1_strongly-democratic,1,5
politicalpref,2_democratic,2,1
politicalpref,3_lean-democratic,3,11
politicalpref,4_lean-republican,4,8
socialissuespref,1_strongly-liberal,1,7
socialissuespref,2_somewhat-liberal,2,8
socialissuespref,3_moderate,3,7
socialissuespref,4_somewhat-conservative,4,3
