user_id,condition,first15,remaining,dwell_diff
1652910426203_slw42,-0.5,,,
1652910503094_tinli,-0.5,,,
1652910733996_1puuk,-0.5,,,
1652910748736_2tub9,-0.5,,,
1652910761747_2kgwd,-0.5,,,
1652910816292_ln7bs,-0.5,,,
1652910842045_6dhjx,-0.5,,,
1652910892507_s7rvi,0.5,7424.33333333333,8531.22222222222,1106.88888888889
1652910903028_kvb2g,-0.5,,,
1652910937570_36he4,0.5,13151,12700.8846153846,-450.115384615385
1652911105205_92l3k,-0.5,,,
1652911186405_dlpvo,0.5,1193.2,827.16,-366.04
1652911207279_zz7co,-0.5,,,
1652911225630_2d92y,-0.5,,,
1652911329308_zoysq,0.5,6669.5,6583.04166666667,-86.458333333333
1652911700844_nwdn5,0.5,3692.5,2178.61538461538,-1513.88461538462
1652911714830_261u5,-0.5,,,
1652911734820_v3t3k,0.5,3839.75,2808.44444444444,-1031.30555555556
1652912130083_nhqb2,0.5,1339.25,1413.53846153846,74.2884615384614
1652912442874_7znr0,-0.5,,,
1652912696029_jqedq,0.5,3729.4,1223.48148148148,-2505.91851851852
1652912773635_qxlj9,-0.5,,,
1652912859774_f7sun,-0.5,,,
1652915852387_dmgxa,0.5,7677.66666666667,6781.03571428572,-896.630952380952
1652917134182_wm0ng,0.5,8639.16666666667,8216.64,-422.526666666667
1653058698136_777ag,0.5,2212.2,224.32,-1987.88
1653058701844_6mf6f,0.5,5014,5127.31034482759,113.310344827586
1653058712144_bk9sd,0.5,2008.16666666667,1782.64,-225.526666666667
1653058763782_unr9z,-0.5,,,
1653058774698_vryei,-0.5,,,
1653058786142_r92wg,-0.5,,,
1653058788957_g0y88,-0.5,,,
1653058827893_y9ly9,-0.5,,,
1653058841633_aasvb,-0.5,,,
1653058878908_cz47q,-0.5,,,
1653058956851_6lcq3,0.5,4336,4039.11111111111,-296.888888888889
1653058994802_uu4ny,-0.5,,,
1653059009088_nnzgf,-0.5,,,
1653059027181_uw94w,0.5,4309.5,1066.09523809524,-3243.40476190476
1653059092459_tf83p,-0.5,,,
1653059248806_glicp,-0.5,,,
1653059491671_hatr8,0.5,2229,192.5,-2036.5
1653059505078_xe3sm,-0.5,,,
1653059530997_hamc6,0.5,5732,214.25,-5517.75
1653059645734_eyjpb,0.5,11707.5,5096.53846153846,-6610.96153846154
1653059749864_gky6a,-0.5,,,
1653059764677_g457o,0.5,5217.5,2559.75,-2657.75
1653059779250_ps4lh,-0.5,,,
1653059814362_i9zok,-0.5,,,
1653059838532_l7ugh,0.5,830,340.37037037037,-489.62962962963
1653059981552_epp54,0.5,5178,1383.65384615385,-3794.34615384615
1653060320032_xxuvz,-0.5,,,
1653060340444_hjv7v,-0.5,,,
1653060370152_6hkrp,0.5,3978.33333333333,2573.51724137931,-1404.81609195402
1653060498976_sca23,0.5,8492.33333333334,2705.11538461539,-5787.21794871795
1653060614772_gab42,-0.5,,,
1653060704864_ljej1,0.5,4064,5325.67857142857,1261.67857142857
