user_id,condition,first15,remaining,dwell_diff
1652910426203_slw42,-0.5,,,
1652910503094_tinli,-0.5,,,
1652910761747_2kgwd,-0.5,,,
1652910816292_ln7bs,-0.5,,,
1652910892507_s7rvi,0.5,9070,8463.26666666667,-606.733333333334
1652910937570_36he4,0.5,,11574,
1652911186405_dlpvo,0.5,1193.2,798.041666666667,-395.158333333333
1652911207279_zz7co,-0.5,,,
1652911329308_zoysq,0.5,2811,5419.33333333333,2608.33333333333
1652911700844_nwdn5,0.5,,1251,
1652911734820_v3t3k,0.5,3698,2048.65,-1649.35
1652912130083_nhqb2,0.5,488,263.5,-224.5
1652912442874_7znr0,-0.5,,,
1652912696029_jqedq,0.5,3729.4,1223.48148148148,-2505.91851851852
1652912859774_f7sun,-0.5,,,
1652915852387_dmgxa,0.5,5327,7758.72727272727,2431.72727272727
1652917134182_wm0ng,0.5,8639.16666666667,8216.64,-422.526666666667
1653058698136_777ag,0.5,2212.2,224.32,-1987.88
1653058701844_6mf6f,0.5,5014,5127.31034482759,113.310344827586
1653058763782_unr9z,-0.5,,,
1653058956851_6lcq3,0.5,4336,4027.61538461539,-308.384615384615
1653059009088_nnzgf,-0.5,,,
1653059027181_uw94w,0.5,3383,489.736842105263,-2893.26315789474
1653059248806_glicp,-0.5,,,
1653059491671_hatr8,0.5,2229,192.5,-2036.5
1653059530997_hamc6,0.5,5732,214.25,-5517.75
1653059645734_eyjpb,0.5,11707.5,4333.21739130435,-7374.28260869565
1653059749864_gky6a,-0.5,,,
1653059764677_g457o,0.5,5217.5,2510.59090909091,-2706.90909090909
1653059779250_ps4lh,-0.5,,,
1653059838532_l7ugh,0.5,830,300.458333333333,-529.541666666667
1653059981552_epp54,0.5,6484,1383.65384615385,-5100.34615384616
1653060340444_hjv7v,-0.5,,,
1653060498976_sca23,0.5,,2313,
1653060704864_ljej1,0.5,4064,5325.67857142857,1261.67857142857
1653060869132_1ud4e,0.5,3717,468.333333333333,-3248.66666666667
1653060898883_ybeop,-0.5,,,
1653061215034_67566,-0.5,,,
1653061260894_c77bd,0.5,4135.25,2181.03703703704,-1954.21296296296
1653061560459_fqe3j,-0.5,,,
1653061860720_nh4cp,0.5,4429.33333333333,2591.78571428571,-1837.54761904762
1653062029852_8jzvt,0.5,,2562.2,
1653062126903_k05zo,-0.5,,,
1653062490527_olp76,-0.5,,,
1653062660536_840w8,0.5,909.333333333333,734.307692307692,-175.025641025641
1653063609947_eey80,-0.5,,,
1653063862236_i7wek,0.5,,12555,
1653064099716_v42ch,0.5,8625,2369.16666666667,-6255.83333333333
1653064326250_ob0i0,-0.5,,,
1653064729086_gjz5e,0.5,,5796.52173913044,
1653064863783_6mkhv,0.5,1339,648.615384615385,-690.384615384615
1653065056839_176cu,-0.5,,,
1653065211515_1ibfd,0.5,8318.16666666667,4356,-3962.16666666667
1653065562281_arrob,0.5,7376.33333333333,4930.44,-2445.89333333333
