user_id,engage_firstheadline,condition
1652910426203_slw42,0,-0.5
1652910503094_tinli,0,-0.5
1652910733996_1puuk,1,-0.5
1652910748736_2tub9,1,-0.5
1652910761747_2kgwd,0,-0.5
1652910816292_ln7bs,0,-0.5
1652910842045_6dhjx,1,-0.5
1652910892507_s7rvi,0,0.5
1652910903028_kvb2g,1,-0.5
1652910937570_36he4,1,0.5
1652911105205_92l3k,1,-0.5
1652911186405_dlpvo,0,0.5
1652911207279_zz7co,0,-0.5
1652911225630_2d92y,1,-0.5
1652911329308_zoysq,1,0.5
1652911700844_nwdn5,1,0.5
1652911714830_261u5,1,-0.5
1652911734820_v3t3k,1,0.5
1652912130083_nhqb2,1,0.5
1652912442874_7znr0,0,-0.5
1652912696029_jqedq,0,0.5
1652912773635_qxlj9,1,-0.5
1652912859774_f7sun,0,-0.5
1652915852387_dmgxa,0,0.5
1652917134182_wm0ng,0,0.5
1653058698136_777ag,0,0.5
1653058701844_6mf6f,0,0.5
1653058712144_bk9sd,1,0.5
1653058763782_unr9z,0,-0.5
1653058774698_vryei,1,-0.5
1653058786142_r92wg,2,-0.5
1653058788957_g0y88,1,-0.5
1653058827893_y9ly9,1,-0.5
1653058841633_aasvb,2,-0.5
1653058878908_cz47q,1,-0.5
1653058956851_6lcq3,1,0.5
1653058994802_uu4ny,1,-0.5
1653059009088_nnzgf,0,-0.5
1653059027181_uw94w,1,0.5
1653059092459_tf83p,1,-0.5
1653059248806_glicp,0,-0.5
1653059491671_hatr8,0,0.5
1653059505078_xe3sm,3,-0.5
1653059530997_hamc6,0,0.5
1653059645734_eyjpb,0,0.5
1653059749864_gky6a,0,-0.5
1653059764677_g457o,0,0.5
1653059779250_ps4lh,0,-0.5
1653059814362_i9zok,2,-0.5
1653059838532_l7ugh,0,0.5
1653059981552_epp54,0,0.5
1653060320032_xxuvz,2,-0.5
1653060340444_hjv7v,0,-0.5
1653060370152_6hkrp,1,0.5
1653060498976_sca23,3,0.5
1653060614772_gab42,1,-0.5
1653060704864_ljej1,0,0.5
1653060869132_1ud4e,0,0.5
1653060898883_ybeop,0,-0.5
1653060899172_wodo6,1,0.5
1653061018955_tayrp,1,-0.5
1653061087712_647b1,1,0.5
1653061215034_67566,0,-0.5
1653061230226_7kekk,1,-0.5
1653061260894_c77bd,1,0.5
1653061410005_3gk6c,1,0.5
1653061489434_cin1n,1,0.5
1653061560459_fqe3j,0,-0.5
1653061860720_nh4cp,0,0.5
1653061981238_qunfj,1,-0.5
1653062005559_od6jw,3,0.5
1653062029852_8jzvt,3,0.5
1653062041823_hj1cl,2,-0.5
1653062126903_k05zo,0,-0.5
1653062431620_hmdhi,2,-0.5
1653062490527_olp76,0,-0.5
1653062660536_840w8,1,0.5
1653062919216_opvfj,1,-0.5
1653063038412_oziyo,1,-0.5
1653063609947_eey80,0,-0.5
1653063862236_i7wek,2,0.5
1653064099716_v42ch,1,0.5
1653064268900_lz9ct,1,-0.5
1653064326250_ob0i0,0,-0.5
1653064729086_gjz5e,1,0.5
1653064791110_25epr,1,0.5
1653064863783_6mkhv,1,0.5
1653065056839_176cu,0,-0.5
1653065211515_1ibfd,0,0.5
1653065236336_bd1xw,1,-0.5
