"time_stamp","experiment_id","condition","parameter","value"
"1652908256005","eRGOfe","1","algorithm","will_smith_priority_control"
"1652908256005","eRGOfe","2","algorithm","will_smith_priority_treatment"
"1652908256005","eRGOfe","1","completion-code","tee22nup"
"1652908256005","eRGOfe","2","completion-code","tee22nup"
"1652908256005","eRGOfe","1","consent","PARTICIPANT%20CONSENT%20FORM%0A%20%0AWhat%20follows%20is%20a%20brief%20overview%20of%20the%20research%20we%20are%20completing%20with%20your%20assistance.%20The%20total%20time%20for%20participation%20is%20approximately%2015%20minutes.%0A%0APROJECT%20TITLE%3A%20%20News%20headline%20opinion%20survey%0A%20%0APRIMARY%20RESEARCHERS%3A%0A%20%0AGordon%20Pennycook%2C%20Faculty%20of%20Business%20Administration%2C%20University%20of%20Regina%3B%20gordon.pennycook%40uregina.ca%3B%20306-585-4717%0A%0ADavid%20Rand%2C%20Management%20Science%2C%20Sloan%20School%20MIT%0A%20%0AINVITATION%20TO%20PARTICIPATE%3A%20You%20are%20invited%20to%20participate%20in%20this%20study.%20To%20be%20eligible%20to%20participate%2C%20you%20must%20be%2018%20years%20of%20age%20or%20older.%0A%20%0APURPOSE%20OF%20THE%20STUDY%3A%20We%20are%20interested%20in%20your%20opinions%20about%20various%20news%20headlines.%20You%20will%20also%20be%20asked%20to%20answer%20various%20questions%20about%20your%20political%20ideology%20and%20beliefs%2C%20thinking%20style%2C%20and%20various%20demographics.%20We%20are%20interested%20in%20people's%20opinion%20about%20news%20media%20and%20why%20they%20have%20such%20opinions.%20%0A%20%0APROCEDURES%3A%20Should%20you%20agree%20to%20participate%2C%20you%20will%20be%20invited%20to%20answer%20questions%20about%20a%20set%20of%20news%20headlines%20along%20with%20a%20decision-making%20task%20and%20various%20demographics%20questions.%20The%20expected%20maximum%20time%20to%20complete%20the%20study%20is%2015%20minutes.%20After%20completing%20the%20study%2C%20you%20will%20be%20provided%20with%20a%20compensation%20as%20a%20thank-you%20for%20your%20time.%0A%20%0APOTENTIAL%20RISKS%3A%20There%20are%20no%20anticipated%20risks%20associated%20with%20participation%20in%20this%20study.%20%0A%0APOTENTIAL%20BENEFITS%3A%20Although%20there%20are%20no%20direct%20benefits%20associated%20with%20participation%2C%20participants%20will%20receive%20compensation%20for%20completing%20the%20study.%20Participants%20may%20also%20benefit%20indirectly%20from%20knowing%20that%20they%20have%20advanced%20our%20understanding%20of%20psychological%20decision-making%20processes.%0A%20%0ACONFIDENTIALITY%3A%20In%20addition%2C%20the%20survey%20software%20automatically%20records%20your%20IP%20address.%20However%2C%20this%20information%20will%20only%20be%20accessible%20to%20the%20primary%20researchers%20and%20will%20be%20removed%20from%20the%20data%20file%20when%20shared.%0A%20%0ASTORAGE%20OF%20DATA%3A%20Original%20electronic%20data%20will%20be%20stored%20securely%20with%20password%20protection.%20Only%20the%20primary%20researchers%20will%20have%20access%20to%20the%20original%20electronic%20data.%20IP%20addresses%20will%20then%20be%20removed%20from%20the%20data%20file%20and%20(upon%20submission%20of%20manuscripts%20associated%20with%20this%20research)%20it%20will%20be%20posted%20online%20for%20the%20sake%20of%20the%20broader%20scientific%20community.%20The%20data%20collected%20will%20be%20analyzed%20in%20aggregate%20and%20will%20be%20used%20to%20inform%20future%20research%20studies%2C%20submitted%20for%20publication%20in%20an%20academic%20journal%20and%20may%20be%20presented%20at%20conferences.%0A%20%0ARIGHT%20TO%20WITHDRAW%3A%20%20Participation%20is%20entirely%20voluntary.%20If%20you%20decide%20to%20participate%20you%20are%20free%20to%20discontinue%20participation%20at%20any%20time%20without%20question%20or%20penalty.%20Information%20collected%20from%20you%20cannot%20be%20discarded%3B%20however%2C%20because%20your%20responses%20are%20anonymous%2C%20they%20will%20be%20not%20tied%20to%20you%20in%20any%20way.%20Given%20the%20large%20and%20anonymous%20nature%20of%20data%20collection%2C%20participants%20cannot%20withdraw%20after%20they%20have%20submitted%20their%20responses.%0A%20%0AQUESTIONS%20OR%20CONCERNS%3A%20If%20you%20have%20any%20questions%2C%20please%20feel%20free%20to%20ask%20a%20member%20of%20the%20research%20team.%20Any%20specific%20questions%20regarding%20the%20study%20can%20be%20answered%20by%20contacting%20the%20researchers%20using%20the%20contact%20information%20at%20the%20top%20of%20this%20form.%20The%20current%20research%20project%20was%20approved%20by%20the%20University%20of%20Regina%20Research%20Ethics%20Board%20(File%202018-116)%20on%20Aug%201%2C%202018.%20The%20final%20results%20will%20be%20made%20available%20online%20following%20completion%20of%20data%20collection%20and%20analysis.%20Participants%20can%20access%20this%20information%20on%20Dr.%20Pennycook's%20personal%20website%3A%20https%3A%2F%2Fgordonpennycook.net%2F%0A%20%0AINVESTIGATORS%3A%20Gordon%20Pennycook%2C%20Ph.D.%3B%20David%20Rand%2C%20Ph.D.%0A%20%0AUNDERSTANDING%3A%20The%20Research%20Ethics%20Board%20at%20the%20University%20of%20Regina%20has%20approved%20this%20project.%20If%20a%20participant%20has%20any%20questions%20or%20concerns%20about%20their%20rights%20or%20treatment%20as%20a%20research%20participant%2C%20they%20may%20contact%20the%20Chair%20of%20the%20Ethics%20Board%20at%201-306-585-4775%20(out%20of%20town%20participants%20may%20call%20collect)%20or%20by%20e-mail%3A%20research.ethics%40uregina.ca.%20%20Participants%20also%20understand%20that%20in%20the%20event%20they%20require%20assistance%20related%20in%20any%20way%20to%20their%20participation%20in%20this%20investigation%2C%20they%20can%20contact%20any%20member%20of%20the%20research%20team%20and%20thereafter%20be%20provided%2C%20or%20guided%20to%20a%20provider%20of%2C%20the%20assistance%20they%20require.%20"
"1652908256005","eRGOfe","2","consent","PARTICIPANT%20CONSENT%20FORM%0A%20%0AWhat%20follows%20is%20a%20brief%20overview%20of%20the%20research%20we%20are%20completing%20with%20your%20assistance.%20The%20total%20time%20for%20participation%20is%20approximately%2015%20minutes.%0A%0APROJECT%20TITLE%3A%20%20News%20headline%20opinion%20survey%0A%20%0APRIMARY%20RESEARCHERS%3A%0A%20%0AGordon%20Pennycook%2C%20Faculty%20of%20Business%20Administration%2C%20University%20of%20Regina%3B%20gordon.pennycook%40uregina.ca%3B%20306-585-4717%0A%0ADavid%20Rand%2C%20Management%20Science%2C%20Sloan%20School%20MIT%0A%20%0AINVITATION%20TO%20PARTICIPATE%3A%20You%20are%20invited%20to%20participate%20in%20this%20study.%20To%20be%20eligible%20to%20participate%2C%20you%20must%20be%2018%20years%20of%20age%20or%20older.%0A%20%0APURPOSE%20OF%20THE%20STUDY%3A%20We%20are%20interested%20in%20your%20opinions%20about%20various%20news%20headlines.%20You%20will%20also%20be%20asked%20to%20answer%20various%20questions%20about%20your%20political%20ideology%20and%20beliefs%2C%20thinking%20style%2C%20and%20various%20demographics.%20We%20are%20interested%20in%20people's%20opinion%20about%20news%20media%20and%20why%20they%20have%20such%20opinions.%20%0A%20%0APROCEDURES%3A%20Should%20you%20agree%20to%20participate%2C%20you%20will%20be%20invited%20to%20answer%20questions%20about%20a%20set%20of%20news%20headlines%20along%20with%20a%20decision-making%20task%20and%20various%20demographics%20questions.%20The%20expected%20maximum%20time%20to%20complete%20the%20study%20is%2015%20minutes.%20After%20completing%20the%20study%2C%20you%20will%20be%20provided%20with%20a%20compensation%20as%20a%20thank-you%20for%20your%20time.%0A%20%0APOTENTIAL%20RISKS%3A%20There%20are%20no%20anticipated%20risks%20associated%20with%20participation%20in%20this%20study.%20%0A%0APOTENTIAL%20BENEFITS%3A%20Although%20there%20are%20no%20direct%20benefits%20associated%20with%20participation%2C%20participants%20will%20receive%20compensation%20for%20completing%20the%20study.%20Participants%20may%20also%20benefit%20indirectly%20from%20knowing%20that%20they%20have%20advanced%20our%20understanding%20of%20psychological%20decision-making%20processes.%0A%20%0ACONFIDENTIALITY%3A%20In%20addition%2C%20the%20survey%20software%20automatically%20records%20your%20IP%20address.%20However%2C%20this%20information%20will%20only%20be%20accessible%20to%20the%20primary%20researchers%20and%20will%20be%20removed%20from%20the%20data%20file%20when%20shared.%0A%20%0ASTORAGE%20OF%20DATA%3A%20Original%20electronic%20data%20will%20be%20stored%20securely%20with%20password%20protection.%20Only%20the%20primary%20researchers%20will%20have%20access%20to%20the%20original%20electronic%20data.%20IP%20addresses%20will%20then%20be%20removed%20from%20the%20data%20file%20and%20(upon%20submission%20of%20manuscripts%20associated%20with%20this%20research)%20it%20will%20be%20posted%20online%20for%20the%20sake%20of%20the%20broader%20scientific%20community.%20The%20data%20collected%20will%20be%20analyzed%20in%20aggregate%20and%20will%20be%20used%20to%20inform%20future%20research%20studies%2C%20submitted%20for%20publication%20in%20an%20academic%20journal%20and%20may%20be%20presented%20at%20conferences.%0A%20%0ARIGHT%20TO%20WITHDRAW%3A%20%20Participation%20is%20entirely%20voluntary.%20If%20you%20decide%20to%20participate%20you%20are%20free%20to%20discontinue%20participation%20at%20any%20time%20without%20question%20or%20penalty.%20Information%20collected%20from%20you%20cannot%20be%20discarded%3B%20however%2C%20because%20your%20responses%20are%20anonymous%2C%20they%20will%20be%20not%20tied%20to%20you%20in%20any%20way.%20Given%20the%20large%20and%20anonymous%20nature%20of%20data%20collection%2C%20participants%20cannot%20withdraw%20after%20they%20have%20submitted%20their%20responses.%0A%20%0AQUESTIONS%20OR%20CONCERNS%3A%20If%20you%20have%20any%20questions%2C%20please%20feel%20free%20to%20ask%20a%20member%20of%20the%20research%20team.%20Any%20specific%20questions%20regarding%20the%20study%20can%20be%20answered%20by%20contacting%20the%20researchers%20using%20the%20contact%20information%20at%20the%20top%20of%20this%20form.%20The%20current%20research%20project%20was%20approved%20by%20the%20University%20of%20Regina%20Research%20Ethics%20Board%20(File%202018-116)%20on%20Aug%201%2C%202018.%20The%20final%20results%20will%20be%20made%20available%20online%20following%20completion%20of%20data%20collection%20and%20analysis.%20Participants%20can%20access%20this%20information%20on%20Dr.%20Pennycook's%20personal%20website%3A%20https%3A%2F%2Fgordonpennycook.net%2F%0A%20%0AINVESTIGATORS%3A%20Gordon%20Pennycook%2C%20Ph.D.%3B%20David%20Rand%2C%20Ph.D.%0A%20%0AUNDERSTANDING%3A%20The%20Research%20Ethics%20Board%20at%20the%20University%20of%20Regina%20has%20approved%20this%20project.%20If%20a%20participant%20has%20any%20questions%20or%20concerns%20about%20their%20rights%20or%20treatment%20as%20a%20research%20participant%2C%20they%20may%20contact%20the%20Chair%20of%20the%20Ethics%20Board%20at%201-306-585-4775%20(out%20of%20town%20participants%20may%20call%20collect)%20or%20by%20e-mail%3A%20research.ethics%40uregina.ca.%20%20Participants%20also%20understand%20that%20in%20the%20event%20they%20require%20assistance%20related%20in%20any%20way%20to%20their%20participation%20in%20this%20investigation%2C%20they%20can%20contact%20any%20member%20of%20the%20research%20team%20and%20thereafter%20be%20provided%2C%20or%20guided%20to%20a%20provider%20of%2C%20the%20assistance%20they%20require.%20"
"1652908256005","eRGOfe","1","entity_sets","[{""entity_set"":""22051858_climate"",""number_to_show"":33,""randomize_between_subjects"":""yes""},{""entity_set"":""oct9_news"",""number_to_show"":200,""randomize_between_subjects"":""yes""},{""entity_set"":""22apr25_youtube_pop"",""number_to_show"":18,""randomize_between_subjects"":""yes""}]"
"1652908256005","eRGOfe","2","entity_sets","[{""entity_set"":""22051858_climate"",""number_to_show"":33,""randomize_between_subjects"":""yes""},{""entity_set"":""oct9_news"",""number_to_show"":200,""randomize_between_subjects"":""yes""},{""entity_set"":""22apr25_youtube_pop"",""number_to_show"":18,""randomize_between_subjects"":""yes""}]"
"1652908256005","eRGOfe","1","feed-button-accuracy","no"
"1652908256005","eRGOfe","2","feed-button-accuracy","no"
