field,response,value,n
aot_change-beliefs,1_strongly-disagree,1,82
aot_change-beliefs,2_disagree,2,137
aot_change-beliefs,3_somewhat-disagree,3,183
aot_change-beliefs,4_somewhat-agree,4,219
aot_change-beliefs,5_agree,5,119
aot_change-beliefs,6_strongly-agree,6,32
aot_evidence-conflicts,1_strongly-disagree,1,104
aot_evidence-conflicts,2_disagree,2,195
aot_evidence-conflicts,3_somewhat-disagree,3,189
aot_evidence-conflicts,4_somewhat-agree,4,176
aot_evidence-conflicts,5_agree,5,93
aot_evidence-conflicts,6_strongly-agree,6,15
aot_loyal-beliefs,1_strongly-disagree,1,96
aot_loyal-beliefs,2_disagree,2,233
aot_loyal-beliefs,3_somewhat-disagree,3,212
aot_loyal-beliefs,4_somewhat-agree,4,132
aot_loyal-beliefs,5_agree,5,76
aot_loyal-beliefs,6_strongly-agree,6,23
aot_maintain-beliefs,1_strongly-disagree,1,145
aot_maintain-beliefs,2_disagree,2,175
aot_maintain-beliefs,3_somewhat-disagree,3,176
aot_maintain-beliefs,4_somewhat-agree,4,176
aot_maintain-beliefs,5_agree,5,74
aot_maintain-beliefs,6_strongly-agree,6,26
aot_regardless-topic,1_strongly-disagree,1,184
aot_regardless-topic,2_disagree,2,244
aot_regardless-topic,3_somewhat-disagree,3,177
aot_regardless-topic,4_somewhat-agree,4,113
aot_regardless-topic,5_agree,5,40
aot_regardless-topic,6_strongly-agree,6,14
aot_true-important,1_strongly-disagree,1,218
aot_true-important,2_disagree,2,288
aot_true-important,3_somewhat-disagree,3,149
aot_true-important,4_somewhat-agree,4,68
aot_true-important,5_agree,5,37
aot_true-important,6_strongly-agree,6,12
economicissuespref,1_strongly-liberal,1,143
economicissuespref,2_somewhat-liberal,2,180
economicissuespref,3_moderate,3,180
economicissuespref,4_somewhat-conservative,4,171
economicissuespref,5_strongly-conservative,5,98
politicalposition,1_democrat,1,330
politicalposition,2_republican,2,167
politicalposition,3_independent,3,234
politicalposition,4_other,4,41
politicalpref,1_strongly-democratic,1,147
politicalpref,2_democratic,2,114
politicalpref,3_lean-democratic,3,245
politicalpref,4_lean-republican,4,149
politicalpref,5_republican,5,72
politicalpref,6_strongly-republican,6,45
socialissuespref,1_strongly-liberal,1,204
socialissuespref,2_somewhat-liberal,2,226
socialissuespref,3_moderate,3,147
socialissuespref,4_somewhat-conservative,4,116
socialissuespref,5_strongly-conservative,5,79
