user_id,age,aot_changebeliefs,aot_evidenceconflicts,aot_loyalbeliefs,aot_maintainbeliefs,aot_regardlesstopic,aot_trueimportant,comments,covidvaccine,crt_1050printer,crt_emilyaprilmay,crt_markadam28,crt_moldbread40,crt_passsecondplace,crt_sheep158died,economicissuespref,ethnicity,gender,politicalposition,politicalpref,random,ses_educationlevel,ses_educationyears,ses_income,ses_ladder,socialmedia_accuracyimportance,socialmedia_followers,socialmedia_following,socialmedia_sharepolitics,socialmedia_usefreq,socialissuespref,studyduration,aot
1642741162347_4r0si,30,4,2,4,3,2,3,"",6,2,Emily,8,20,1,8,3,black-african-american,female,1,2,no,5,17,9,4,2,1500,2000,2,5,2,16,4
1653780032930_azhr1,31,4,4,4,4,4,4,"",1,10,emily,48,38,2,8,3,other,female,3,3,no,3,2,3,7,1,2,3,1,2,3,20,3
1653780036733_o1ogi,47,2,2,1,2,1,1,none,6,10,Emily ,4,39,2,8,2,white-caucasian,female,1,2,no,6,18,6,3,5,300,85,2,5,2,13,5.5
1653780079354_gg09c,50,4,4,3,4,3,1,thx,6,10,Emily,4,39,2,8,3,white-caucasian,male,3,3,no,6,18,4,4,4,5,25,2,4,3,16,3.83333333333333
1653780092911_833rh,36,6,2,3,3,3,2,"",6,50,Emily,4,39,2,8,2,black-african-american,male,1,2,no,5,17,1,7,1,1100,3,2,5,2,9,3.83333333333333
1653780103090_kwf81,45,1,2,1,1,1,1,The social media stream went on so long I thought it might have been broken. Glad it wasn't!,6,50,Emily,8,39,1,8,1,white-caucasian,male,1,2,no,4,13,5,5,5,250,500,2,5,1,15,5.83333333333333
1653780141504_btxvf,29,5,4,2,4,2,2,no,6,1,June,4,2,1,8,4,white-caucasian,male,2,4,no,6,22,1,6,4,500,1000,2,5,2,12,3.83333333333333
1653780146771_jbje7,40,3,3,2,1,1,2,None,6,10,Emily,4,39,2,8,4,white-caucasian,female,3,4,no,5,17,7,4,5,226,430,1,5,2,11,5
1653780149318_drsiz,62,3,2,3,3,2,2,no,1,50,Emily,8,39,2,8,4,white-caucasian,male,2,4,no,4,13,1,6,4,52,15,2,4,4,25,4.5
1653780153712_k5h8s,46,3,4,4,3,3,1,N/A,1,50,Emily,8,20,1,7,1,"",male,2,4,no,4,18,2,1,1,0,2,2,4,3,64,4
