user_id,condition,first15,remaining,dwell_diff
1642741162347_4r0si,0.5,3624,244.357142857143,-3379.64285714286
1653780032930_azhr1,-0.5,,,
1653780036733_o1ogi,0.5,8884.75,6648.62962962963,-2236.12037037037
1653780079354_gg09c,0.5,12421,4791.86666666667,-7629.13333333333
1653780092911_833rh,0.5,6668,782.961538461538,-5885.03846153846
1653780103090_kwf81,-0.5,,,
1653780141504_btxvf,0.5,1868,2372.52173913044,504.521739130435
1653780146771_jbje7,0.5,4395.5,5211.14814814815,815.648148148148
1653780149318_drsiz,-0.5,,,
1653780153712_k5h8s,0.5,10335,7425.48148148148,-2909.51851851852
1653780159694_oyr3u,-0.5,,,
1653780169035_f9ezn,-0.5,,,
1653780173147_s6wdu,-0.5,,,
1653780189769_9iksy,0.5,9033,4983.53571428572,-4049.46428571429
1653780331895_hwz2p,0.5,6392.33333333333,5000.77777777778,-1391.55555555556
1653780693388_eo00z,-0.5,,,
1653780717730_gscfv,0.5,2784.5,2619.57142857143,-164.928571428572
1653781345686_qalue,0.5,5029.66666666667,3762.5,-1267.16666666667
1653781384524_mkash,-0.5,,,
1653781419392_316hc,-0.5,,,
1653782922274_cf42h,0.5,11327.75,7375.78260869565,-3951.96739130435
1653785718300_hp3ba,-0.5,,,
1653786919158_noxt2,-0.5,,,
1653800861252_hnzkt,-0.5,,,
1653866384170_6gho3,0.5,4350,1728.07142857143,-2621.92857142857
1653866386978_9ixpt,0.5,15078.6666666667,13472.4090909091,-1606.25757575758
1653866392587_c31cx,-0.5,,,
1653866399389_b3bny,0.5,932.333333333333,450.172413793103,-482.16091954023
1653866406128_j3gkg,0.5,9066.33333333333,8024.36,-1041.97333333333
1653866419438_qarig,0.5,2823,2387.2962962963,-435.703703703704
1653866426194_b4dyr,-0.5,,,
1653866431673_ifby3,0.5,9632.66666666667,2334.44827586207,-7298.2183908046
1653866441646_0o88u,0.5,5702.2,969.153846153846,-4733.04615384615
1653866444246_fcef5,-0.5,,,
1653866445280_3g6gx,-0.5,,,
1653866448569_zfan5,-0.5,,,
1653866458391_teni0,0.5,4279.5,3141.85185185185,-1137.64814814815
1653866465140_ax9wt,-0.5,,,
1653866467167_udns8,0.5,3791,2400.96428571429,-1390.03571428571
1653866476660_tygyp,0.5,3807.66666666667,2097.40740740741,-1710.25925925926
1653866482358_ipjft,0.5,5969,1960.44444444444,-4008.55555555556
1653866485287_mwo5p,-0.5,,,
1653866504667_k3yy4,-0.5,,,
1653866510960_5ut9w,-0.5,,,
1653866522323_1eji7,0.5,19515,11271.9090909091,-8243.09090909091
1653866525435_820sm,0.5,6198,1730.46428571429,-4467.53571428571
1653866538495_v49vh,-0.5,,,
1653866543113_g55yt,0.5,3544,2682,-862
1653866554471_abkvq,0.5,3224.5,353.08,-2871.42
1653866561676_83gz8,0.5,5832.5,6154.65384615385,322.153846153846
1653866582939_2l8xa,0.5,2208,2404.5,196.5
1653866612156_fp78m,0.5,12189.8,6155.04,-6034.76
1653866650107_lymrl,0.5,7025.75,7982.57692307692,956.826923076923
1653866669789_if5e4,-0.5,,,
1653866701762_045up,-0.5,,,
1653866717329_s9y21,0.5,6951.2,2477.16,-4474.04
