user_id,engage_firstheadline,condition
1642741162347_4r0si,0,0.5
1653780032930_azhr1,1,-0.5
1653780036733_o1ogi,1,0.5
1653780079354_gg09c,1,0.5
1653780092911_833rh,0,0.5
1653780103090_kwf81,2,-0.5
1653780141504_btxvf,0,0.5
1653780146771_jbje7,0,0.5
1653780149318_drsiz,1,-0.5
1653780153712_k5h8s,2,0.5
1653780159694_oyr3u,0,-0.5
1653780169035_f9ezn,0,-0.5
1653780173147_s6wdu,2,-0.5
1653780189769_9iksy,1,0.5
1653780331895_hwz2p,0,0.5
1653780693388_eo00z,1,-0.5
1653780717730_gscfv,1,0.5
1653781345686_qalue,0,0.5
1653781384524_mkash,5,-0.5
1653781419392_316hc,0,-0.5
1653782922274_cf42h,0,0.5
1653785718300_hp3ba,1,-0.5
1653786919158_noxt2,3,-0.5
1653800861252_hnzkt,1,-0.5
1653866384170_6gho3,1,0.5
1653866386978_9ixpt,1,0.5
1653866392587_c31cx,0,-0.5
1653866399389_b3bny,0,0.5
1653866406128_j3gkg,0,0.5
1653866419438_qarig,1,0.5
1653866426194_b4dyr,0,-0.5
1653866431673_ifby3,1,0.5
1653866441646_0o88u,0,0.5
1653866444246_fcef5,0,-0.5
1653866445280_3g6gx,0,-0.5
1653866448569_zfan5,0,-0.5
1653866458391_teni0,0,0.5
1653866465140_ax9wt,0,-0.5
1653866467167_udns8,2,0.5
1653866476660_tygyp,2,0.5
1653866482358_ipjft,0,0.5
1653866485287_mwo5p,0,-0.5
1653866504667_k3yy4,1,-0.5
1653866510960_5ut9w,1,-0.5
1653866522323_1eji7,1,0.5
1653866525435_820sm,1,0.5
1653866538495_v49vh,1,-0.5
1653866543113_g55yt,1,0.5
1653866554471_abkvq,0,0.5
1653866561676_83gz8,1,0.5
1653866582939_2l8xa,1,0.5
1653866612156_fp78m,1,0.5
1653866650107_lymrl,0,0.5
1653866669789_if5e4,1,-0.5
1653866701762_045up,0,-0.5
1653866717329_s9y21,1,0.5
1653866749527_v5om1,0,-0.5
1653866821529_nhann,0,0.5
1653866826153_lel4v,1,0.5
1653866918865_o0zm9,1,0.5
1653866924829_x0jtq,1,-0.5
1653866954873_y0vx4,0,-0.5
1653867035045_bfu8i,1,0.5
1653867057723_vrlme,1,-0.5
1653867091002_to4hm,1,0.5
1653867168456_j52ar,1,-0.5
1653867239940_7ek6t,0,0.5
1653867246504_m1nz0,0,-0.5
1653867255438_a45rz,1,-0.5
1653867269480_0ihgw,1,0.5
1653867324486_snguf,0,-0.5
1653867359294_am607,0,-0.5
1653867377518_jst5t,2,0.5
1653867435284_tby2m,0,-0.5
1653867442574_luwu3,1,-0.5
1653867449182_rk5hy,1,-0.5
1653867468434_kcwde,0,0.5
1653867472167_c43qc,1,0.5
1653867600633_pmutb,0,-0.5
1653867616543_q358n,0,-0.5
1653867643814_9k5mk,0,-0.5
1653867649374_kojqj,1,0.5
1653867681435_ihy6b,1,0.5
1653867683872_tm0c2,1,-0.5
1653867690418_o0n1y,1,0.5
1653867710649_bm11x,0,0.5
1653867724261_zkqvn,3,-0.5
1653867758730_87e9o,0,0.5
1653867836172_qfsye,0,0.5
1653867848429_wjo1p,1,0.5
1653867943427_lg3lv,1,0.5
1653868004562_6rctp,1,-0.5
1653868024601_e3184,0,-0.5
1653868032307_horzo,0,-0.5
1653868058734_x4zo7,0,0.5
1653868098908_cf80h,1,-0.5
1653868141466_kid1h,1,0.5
1653868155688_xc4p7,3,-0.5
1653868164336_nt9oy,0,-0.5
1653868178731_2enm5,1,0.5
1653868202729_msyjn,1,0.5
1653868277602_3mp4l,0,0.5
1653868357483_mc1lj,1,0.5
1653868412787_ckmp7,0,-0.5
1653868444502_c03ry,0,-0.5
1653868451098_l5yks,0,-0.5
1653868502469_mz03l,1,0.5
1653868582649_ydvh8,0,-0.5
1653868649788_2032j,0,-0.5
1653868675715_7cx1f,1,0.5
1653868726883_aigpf,0,-0.5
1653868775109_tymnq,1,0.5
1653868776628_x453e,0,0.5
1653868804284_g9yls,1,0.5
1653868817760_itaat,0,0.5
1653868835070_wu4wr,1,0.5
1653868905328_w9dib,0,-0.5
1653868942690_vztzk,0,-0.5
1653868961543_26uuy,0,-0.5
1653868966661_0hva5,0,0.5
1653868991079_qk7pv,0,0.5
1653869005888_9qmc0,0,0.5
1653869021817_4wl4w,0,-0.5
1653869041296_95v73,2,0.5
1653869112377_647sa,1,-0.5
1653869155744_qwnxz,0,-0.5
1653869178181_v1qke,0,0.5
1653869223291_k6ky8,0,0.5
1653869226730_f0ewc,0,0.5
1653869260810_955vi,2,0.5
1653869261379_gj4mh,1,-0.5
1653869359027_5jw2v,1,-0.5
1653869444195_sdccu,0,0.5
1653869505392_g58yj,0,0.5
1653869518712_0yo8z,2,0.5
1653869565060_m9sgn,0,-0.5
1653869583104_vfzue,0,0.5
1653869684035_g723t,0,0.5
1653869695717_4eb9c,0,-0.5
1653869708804_2j7ur,1,0.5
1653869708862_rl49t,1,-0.5
1653869764106_qk47e,0,0.5
1653869919966_7tcp3,1,0.5
