"time_stamp","time_engagement","time_content_viewed","user_id","entity_id","condition","experiment_id","engagement_type","response","accuracy_score","entity_category","entity_set","entity_url","ip_address","item_order","likes","read_later","shares","user_agent"
"1653782934822","1653782933949","1653782409426","1653780032930_azhr1","22052628_monkeypox_WjLGf","1","e0j5KD","read_later","1","-1","news","22052628_monkeypox","https://ucarecdn.com/611e1225-b090-4d68-a7a2-d37940d66133/","47.14.139.240","0","1471","0","142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782409426","1653780032930_azhr1","22052628_monkeypox_WjLGf","1","e0j5KD","dwell","524952","-1","news","22052628_monkeypox","https://ucarecdn.com/611e1225-b090-4d68-a7a2-d37940d66133/","47.14.139.240","0","1471","0","142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782409430","1653780032930_azhr1","o9n_Tct6e","1","e0j5KD","dwell","212","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_biden%20backs%20compensation%20to%20illegal%20immigrants.png","47.14.139.240","1","74","0","4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782942482","1653782941718","1653782934529","1653780032930_azhr1","o9n_Tct6e","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_biden%20backs%20compensation%20to%20illegal%20immigrants.png","47.14.139.240","1","74","0","4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782934529","1653780032930_azhr1","o9n_Tct6e","1","e0j5KD","dwell","8346","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_biden%20backs%20compensation%20to%20illegal%20immigrants.png","47.14.139.240","1","74","0","4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782944996","1653782944280","1653782942958","1653780032930_azhr1","o9n_80DtH","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20wants%20to%20open%20US%20consulate%20in%20Jerusalem.png","47.14.139.240","2","50713","0","3372","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782942958","1653780032930_azhr1","o9n_80DtH","1","e0j5KD","dwell","4417","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20wants%20to%20open%20US%20consulate%20in%20Jerusalem.png","47.14.139.240","2","50713","0","3372","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782949382","1653782948626","1653782947425","1653780032930_azhr1","o9n_63yRR","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Gates%20foundation%20money%20for%20COVID%20pills%20to%20poor%20countries.png","47.14.139.240","3","492","0","27","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782947425","1653780032930_azhr1","o9n_63yRR","1","e0j5KD","dwell","2199","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Gates%20foundation%20money%20for%20COVID%20pills%20to%20poor%20countries.png","47.14.139.240","3","492","0","27","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782951666","1653782950957","1653782949740","1653780032930_azhr1","o9n_aKdMB","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20administration%20recognizes%20link%20between%20climate%20change%20and%20migration.png","47.14.139.240","4","83","0","5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
